"URN","LinkURN","LinkName","LinkType","LinkEstablishedDate"
101857,104719,"Our Lady's Catholic High School","Parent",""
105135,100194,"St Paul's Catholic School","Parent",""
128364,120019,"Newry Junior School","Parent","01-09-2007"
128364,120027,"Southfields Infant School","Parent","01-09-2007"
129342,104117,"Whitesmore School","Parent",""
130247,110043,"Thamesbridge College","Parent",""
130908,111772,"Macmillan Academy","Parent",""
130909,107462,"Dixons City Technology College","Parent",""
130912,101150,"North Westminster Community School","Parent",""
131065,104690,"Breckfield Community Comprehensive School","Parent",""
131065,104689,"Anfield Community Comprehensive School","Parent",""
131262,101150,"North Westminster Community School","Parent",""
131747,100842,"Aylwin Girls' School","Parent",""
131749,106647,"The Elmhirst School","Parent",""
131752,100362,"Burlington Danes CofE School","Parent",""
131895,107127,"Waltheof School","Parent",""
131896,107147,"Myrtle Springs School","Parent",""
131897,102678,"Tamworth Manor High School","Parent",""
131897,135416,"Harris Federation Post 16","Sixth Form Centre Link","19-09-2007"
131898,108099,"Agnes Stewart Church of England High School","Parent",""
131898,108077,"Braim Wood Boys' High School","Parent",""
132711,100846,"Waverley School","Parent",""
132711,135416,"Harris Federation Post 16","Sixth Form Centre Link","18-04-2011"
132727,103102,"The McEntee School","Parent",""
133114,134112,"The Gateway Community College","Parent",""
133386,102160,"St David and St Katharine CofE Secondary School","Parent",""
133697,104244,"T P Riley Community School","Parent",""
133768,111750,"Keldholme School","Parent",""
133768,111738,"Langbaurgh School","Parent",""
133769,101469,"Thamesmead Community College","Parent",""
133769,101432,"Abbey Primary School","Parent",""
133769,101435,"Southlake Primary School","Parent",""
134003,132166,"Mitcham Vale School","Parent",""
134221,109291,"St George Community College","Parent",""
134223,111743,"Coulby Newham School","Parent",""
134223,111752,"Brackenhoe School","Parent",""
134224,105567,"Ducie High School","Parent",""
134225,100848,"Warwick Park School","Parent",""
134226,101551,"Willesden High School","Parent",""
134253,122946,"Djanogly City Technology College","Parent",""
134314,100445,"St Mary Magdalene CofE Primary School","Parent",""
134369,101871,"Northolt Primary School","Parent",""
134369,101929,"The Compton High School and Sports College","Parent",""
134797,102427,"Evelyns School","Parent",""
134798,101344,"The Edgware School","Parent",""
134814,122078,"Lings Upper School","Parent",""
135004,102428,"John Penrose School","Parent",""
135007,106785,"Thorne Grammar School","Parent",""
135070,100744,"Malory School","Parent",""
135070,100698,"Merlin Primary School","Parent","01-01-2011"
135071,105984,"Canon Williamson CofE High School","Parent",""
135073,100759,"Haberdashers' Aske's Hatcham College","Parent",""
135073,100697,"Monson Primary School","Parent","16-01-2009"
135120,113029,"Landau Forte College","Parent",""
135149,123581,"Madeley Academy","Parent",""
135170,104013,"Shireland Language College","Parent",""
135176,118086,"The Immingham School","Parent",""
135195,118828,"The Channel School","Parent",""
135195,118506,"Park Farm Primary School","Parent","01-09-2009"
135209,118071,"Wintringham School","Parent",""
135234,104009,"George Collegiate Academy","Parent",""
135249,101812,"Stanley Technical High School for Boys","Parent",""
135249,135416,"Harris Federation Post 16","Sixth Form Centre Link","19-09-2007"
135262,106131,"Avondale High School","Parent",""
135263,110901,"Deacon's School","Parent",""
135263,110876,"John Mansfield School","Parent",""
135263,110879,"Hereward Community College","Parent",""
135264,100736,"Our Lady of Lourdes Catholic Primary School","Parent",""
135264,100751,"St Joseph's Academy","Parent",""
135290,118877,"Southlands Community Comprehensive School","Parent",""
135294,118065,"Havelock School","Parent",""
135295,109384,"John Cabot City Technology College","Parent",""
135296,105593,"William Hulme's Grammar School","Parent",""
135297,119024,"The Leigh City Technology College","Parent",""
135300,109288,"Speedwell Technology College","Parent",""
135305,118925,"Montgomery School","Parent",""
135306,132050,"Corby Community College","Parent",""
135311,101850,"Harris City Technology College","Parent",""
135311,135416,"Harris Federation Post 16","Sixth Form Centre Link","19-09-2007"
135313,105841,"The Queen Elizabeth School","Parent",""
135314,114319,"Eastbourne Comprehensive School","Parent",""
135315,100843,"Walworth School","Parent",""
135316,101092,"ADT College","Parent",""
135317,122153,"Brooke Weston CTC","Parent",""
135335,103737,"Woodway Park School and Community College","Parent",""
135337,109684,"Halyard High School","Parent",""
135338,109691,"South Luton High School","Parent",""
135364,134981,"Headlands","Parent","01-09-2007"
135364,126224,"Pinehurst Junior School","Parent","01-09-2007"
135364,126225,"Pinehurst Infants' School","Parent","01-09-2007"
135364,131902,"Penhill Primary School","Parent","31-08-2008"
135365,123229,"Drayton School","Parent",""
135367,132218,"Bradford Cathedral Community College","Parent",""
135371,118874,"The Cornwallis School","Parent",""
135372,118885,"Oldborough Manor Community School","Parent",""
135372,118887,"Senacre Technology College","Parent",""
135401,100871,"Bacon's College","Parent",""
135423,108533,"West Gate Community College","Parent",""
135449,104005,"Dartmouth High School","Parent",""
135508,106264,"Hartshead Sports College","Parent",""
135508,106260,"Stamford High School","Parent",""
135563,120710,"Joseph Ruston Technology College","Parent",""
135563,120433,"The Usher Junior School","Parent",""
135563,120434,"Lincoln Moorland Infant and Nursery School","Parent",""
135564,120647,"The City of Lincoln Community College","Parent",""
135565,120721,"The Priory Lsst","Parent",""
135575,109368,"Bristol Cathedral School","Parent",""
135580,119754,"Darwen Moorland High School","Parent",""
135581,109344,"Colstons Girls' School","Parent",""
135582,123596,"Abraham Darby Specialist School for Performing Arts","Parent",""
135583,133267,"Sherwood Hall School and Sixth Form College","Parent",""
135584,100799,"Joseph Lancaster Primary School","Parent",""
135584,100847,"Geoffrey Chaucer Technology College","Parent",""
135587,100454,"Islington Green School","Parent",""
135597,109284,"Withywood Community School","Parent",""
135597,109129,"Gay Elms Primary School","Parent","01-09-2012"
135598,118114,"Archbishop Thurstan Church of England Voluntary Controlled School","Parent",""
135599,104010,"Willingsworth High School","Parent","01-09-2008"
135619,122319,"Wensleydale Middle School","Parent",""
135619,122263,"Blyth South Beach First School","Parent",""
135620,112390,"The Morton School","Parent",""
135621,112430,"St Aidan's County High School Specialist Sports College","Parent",""
135621,112435,"North Cumbria Technology College","Parent","02-09-2008"
135622,108856,"Pennywell School","Parent","01-09-2008"
135622,133345,"Quarry View Primary School","Parent","01-09-2008"
135628,116456,"Millbrook Community School","Parent",""
135628,116464,"Oaklands Community School","Parent",""
135629,116452,"Woolston School Language College","Parent",""
135629,116455,"Grove Park Business and Enterprise College","Parent",""
135630,118819,"Axton Chase School","Parent",""
135631,110077,"Langleywood School","Parent",""
135632,112386,"Ehenside Community School","Parent",""
135632,112387,"Wyndham School","Parent",""
135649,119760,"Accrington Moorhead Sports College","Parent",""
135650,121174,"Heartsease High School","Parent",""
135651,115328,"The Rickstones School","Parent",""
135652,115351,"Greensward College","Parent",""
135653,115367,"The John Bramston School and Sixth Form College","Parent",""
135654,101822,"Coulsdon High School","Parent",""
135661,105972,"Hope High School","Parent",""
135662,116934,"Wyebridge Sports College","Parent",""
135663,109276,"Hengrove Community Arts College","Parent",""
135665,110507,"Sir Frank Markham Community School","Parent",""
135666,120706,"The Castle Hills Community Arts College","Parent",""
135666,120658,"Middlefield School of Technology","Parent",""
135671,109275,"Portway Community School","Parent",""
135672,117039,"Hereford Waldorf School","Parent",""
135674,118098,"High Ridge School Specialist Sports College","Parent",""
135675,123242,"Peers School","Parent",""
135676,101148,"Pimlico School","Parent",""
135677,135416,"Harris Federation Post 16","Sixth Form Centre Link","02-07-2015"
135684,104129,"The City Technology College","Parent","01-09-2008"
135685,122878,"Henry Mellish Comprehensive School","Parent","10-09-2008"
