"GID","URN","UID","Companies House Number","Role","Title","Forename 1","Forename 2","Surname","Date of appointment","Date term of office ends/ended","Appointing body","Original signatory member","Original chair of trustees"
"1050617","101849","","","Accounting Officer","Mr","Stuart","","Worden","28/08/2012","","N/A","",""
"1404216","101849","","","Trustee","Mrs","Jasmine","","Wilson","03/10/2022","03/10/2025","Appointed by GB/board","",""
"1491466","101849","","","Trustee","Mr","James","","Hillier","07/12/2023","07/12/2026","Elected by parents","",""
"1642263","101849","","","Trustee","","Magdalin","","Clancy","24/09/2025","24/09/2028","Appointed by GB/board","",""
"1679922","101849","","","Trustee","Mr","Andrew","","Smith","10/07/2023","10/07/2026","Elected by school staff","",""
"1691099","101849","","","Trustee","Mrs","Rebecca","","Allen","01/09/2023","01/09/2026","Appointed by GB/board","",""
"1728432","101849","","","Trustee","","Iain","","Faragher","16/11/2023","16/11/2026","Elected by parents","",""
"1753668","101849","","","Chief Financial Officer","Mrs","Louise","Mary","Cooper","27/08/2024","","N/A","",""
"1754693","101849","","","Chair of Trustees","Mr","Josh","Adam","Berger","01/09/2024","01/09/2027","Appointed by GB/board","",""
"1754938","101849","","","Member","Mr","Tony","","Wadsworth","06/12/2023","","Appointed by GB/board","",""
"1762702","101849","","","Trustee","","Maggie","","Crowe","25/09/2024","24/09/2027","Appointed by GB/board","",""
"1762704","101849","","","Trustee","","Paul","","Burger","13/09/2024","12/09/2027","Appointed by GB/board","",""
"1762706","101849","","","Member","","Nick","","Williams","25/09/2024","","Appointed by academy members","",""
"1765645","101849","","","Member","","Louise","","Soden","25/09/2024","","Appointed by academy members","",""
"1781930","101849","","","Trustee","Ms","Rachel","","Penn","04/12/2024","17/12/2025","Elected by school staff","",""
"1818724","101849","","","Trustee","","Archie","","Madekwe","23/04/2025","02/04/2026","Appointed by GB/board","",""
"1818725","101849","","","Trustee","","Annisha","","Taylor","23/04/2025","23/04/2028","Appointed by GB/board","",""
"1818726","101849","","","Trustee","","Dom","","Jones","23/04/2025","23/04/2028","Appointed by GB/board","",""
"1818727","101849","","","Trustee","","Alex","","Le Roux","23/04/2025","23/04/2028","Appointed by GB/board","",""
"1833933","101849","","","Trustee","Mr","Alastair","","Webber","16/07/2025","16/07/2028","Appointed by GB/board","",""
