"GID","URN","UID","Companies House Number","Role","Title","Forename 1","Forename 2","Surname","Date of appointment","Date term of office ends/ended","Appointing body","Original signatory member","Original chair of trustees"
"1228503","100000","","","Governor","Mrs","Jacqueline","","Greenlees","07/09/2021","07/09/2029","Appointed by foundation/Trust","",""
"1267349","100000","","","Governor","Revd","Laura","","Jorgensen","05/11/2009","","Ex-officio foundation governor (appointed by foundation by virtue of the office they hold)","",""
"1310285","100000","","","Governor","Headteacher","Alexandra","","Allan","01/09/2018","","Ex-officio by virtue of office as headteacher/principal","",""
"1319290","100000","","","Governor","Ms","Beverley","Elizabeth","Ryan","01/06/2018","15/09/2026","Appointed by foundation/Trust","",""
"1520482","100000","","","Governor","Mr","Anwar","","Akhtar","30/04/2025","27/04/2029","Foundation/sponsor members","",""
"1592316","100000","","","Governor","Mr","Mohibur","","Rahman","31/03/2022","31/03/2026","Elected by parents","",""
"1596579","100000","","","Governor","Mr","Robert","","Moye","21/04/2022","21/04/2026","Appointed by foundation/Trust","",""
"1663957","100000","","","Governor","Ms","Temi","","Omooba","22/03/2023","21/03/2027","Nominated by other body and appointed by GB","",""
"1681222","100000","","","Governor","Mr","Joseph","","Tilley","22/07/2023","21/07/2027","Nominated by other body and appointed by GB","",""
"1681224","100000","","","Governor","Ms","Marianne","","Fredericks","13/07/2023","12/07/2027","Appointed by foundation/Trust","",""
"1708317","100000","","","Governor","Councillor","John","","Fletcher","13/09/2023","12/09/2027","Appointed by LA","",""
"1739992","100000","","","Governor","Mr","Mohammad","Kamrul","Hashan","25/03/2024","24/03/2028","Elected by parents","",""
"1769786","100000","","","Governor","Mr","James","","Roe","08/10/2024","07/10/2028","Elected by school staff","",""
"1877131","100000","","","Governor","Mr","James","","Sunderland","13/04/2026","12/04/2029","Elected by parents","",""
"1306077","100005","","","Governor","Ms","Sue","","Parry-Davies","02/10/2021","02/02/2026","Nominated by LA and appointed by GB","",""
"1306087","100005","","","Governor","Ms","Julie","","Tucker","09/07/2018","08/07/2026","Appointed by GB/board","",""
"1585506","100005","","","Governor","","Barbara","","Riddell","21/06/2021","28/09/2029","Appointed by GB/board","",""
"1602890","100005","","","Governor","","Helen","","Millward","07/03/2022","06/03/2030","Appointed by GB/board","",""
"1602891","100005","","","Governor","","Caroline","","Ali","07/03/2022","06/03/2030","Appointed by GB/board","",""
