"Variable","Label","Type","Description"
"URN","Unique Reference Number","",""
"LAESTAB","DfE Number","",""
"NUMFTE","Number of full time equivalent pupils","FLOAT",""
"TOTPUPSENDN","Total number of pupils on roll (all ages)","INTEGER",""
"TSENSAP","Number of pupils SEN statement or on School Action Plus","INTEGER",""
"TSENA","Number of pupils on roll with SEN on School Action","INTEGER",""
"TOTSENST","Total pupils with SEN statement","INTEGER",""
"TOTSENAP","Total pupils with school  action+","INTEGER",""
"PSENSAP","Percentage of pupils with SEN statement or on School Action Plus","PCT1",""
"PSENA","Percentage of pupils on roll with SEN on School Action","PCT1",""
"PTOTSENST","% pupils with SEN statement","PCT1",""
"PTOTSENAP","% pupils with school action+","PCT1",""
"TOTPUPEALDN","Number of pupils of compulsory school age and above","INTEGER",""
"NUMEAL","Number of pupils with English not as first language","INTEGER",""
"NUMENGFL","Number of pupils with English as first language","INTEGER",""
"NUMUNCFL","Number of pupils where first language is unclassified","INTEGER",""
"PNUMEAL","Percentage of pupils with English not as first language","PCT1",""
"PNUMENGFL","% pupils with English as first language","PCT1",""
"PNUMUNCFL","% pupils where first language is unclassified","PCT1",""
"TOTPUPFSMDN","Number of pupils used in FSM calculation","INTEGER",""
"NUMFSM","Total pupils eligible for free school meals","INTEGER",""
"NUMNOFSM","Total pupils not eligible for free school meals","INTEGER",""
"PNUMFSM","Percentage of  pupils eligible for free school meals","PCT1",""
"PNUMNOFSM","% pupils not eligible for free school meals","PCT1",""
