LA,ESTAB,URN,PERCTOT,PERCUA,PPERSABS15,PPERSABS20
201,3614,100000,5.27,0.20,3.9,0.0
202,2019,100008,6.17,1.46,4.6,1.1
202,2036,100009,5.80,0.39,6.4,1.6
202,2065,100010,6.30,0.96,6.6,2.7
202,2078,100011,5.24,0.81,5.0,1.2
202,2095,100012,6.86,1.86,8.0,3.0
202,2184,100013,5.17,0.90,5.5,1.6
202,2219,100014,5.52,0.15,4.4,3.3
202,2290,100015,4.91,0.28,3.6,0.0
202,2436,100018,5.44,1.30,5.8,2.5
202,2438,100019,6.58,1.25,7.3,1.4
202,2475,100020,4.45,0.66,3.1,0.5
202,2502,100021,6.14,0.95,5.1,0.6
202,2507,100022,7.14,0.92,6.2,1.1
202,2603,100023,5.12,0.36,4.1,2.9
202,2604,100024,6.06,0.36,8.9,1.6
202,2775,100025,6.63,1.11,8.5,1.6
202,2797,100026,5.28,0.29,4.0,1.7
202,2841,100027,3.56,0.13,1.7,0.0
202,2842,130342,4.21,0.69,2.8,1.1
202,2843,132245,5.82,0.56,3.9,1.4
202,3323,100028,4.39,0.00,2.5,0.6
202,3327,100029,5.42,0.94,4.4,1.1
202,3340,100030,5.08,0.51,4.3,1.1
202,3352,100031,3.66,0.19,0.6,0.0
202,3359,100032,4.75,0.30,4.3,1.2
202,3361,100033,3.70,0.43,3.3,1.1
202,3370,100034,4.78,0.61,3.6,0.5
202,3391,100035,5.16,0.47,7.1,1.9
202,3398,100036,6.01,1.32,5.8,3.5
202,3400,100037,5.29,0.37,4.7,2.6
202,3401,100038,7.87,1.67,14.8,6.1
202,3429,100039,5.86,1.89,6.5,3.0
202,3441,100040,5.08,0.28,3.0,1.2
202,3482,100041,4.72,0.33,3.2,0.6
202,3517,100042,4.71,0.43,2.7,0.5
202,3521,100043,5.77,0.51,5.3,1.2
202,3546,100044,5.65,1.24,4.5,1.7
202,3560,100045,5.31,1.05,8.6,1.7
202,3568,100046,4.51,0.34,2.7,0.0
202,3649,100047,3.61,0.52,2.9,0.0
202,3655,100048,6.21,1.46,8.3,2.8
202,4104,100049,7.13,2.07,12.2,5.9
202,4166,100050,6.67,1.89,11.4,5.1
202,4196,100051,7.44,1.19,10.1,4.3
202,4275,100052,6.78,0.93,8.5,3.9
202,4285,100053,7.65,1.26,12.4,6.4
202,4611,100054,6.00,0.17,6.7,3.9
202,4652,100055,5.85,1.58,7.3,3.6
202,4688,100056,8.51,2.48,12.6,7.2
202,5401,100059,6.19,2.18,8.9,4.1
203,2018,100111,4.92,1.16,5.2,0.6
203,2024,100112,5.50,2.59,4.2,1.8
203,2028,100113,3.94,1.25,2.6,1.1
203,2071,100114,5.57,2.37,3.3,0.8
203,2106,100115,4.82,0.78,4.0,1.1
203,2174,100120,6.02,1.86,6.6,3.1
203,2228,100125,6.14,2.34,8.6,3.0
203,2242,100126,6.22,1.55,8.5,3.8
203,2258,100127,4.30,2.26,2.8,0.3
203,2266,100128,4.97,1.25,4.2,0.6
203,2271,100129,4.44,1.73,3.1,1.8
203,2275,100130,3.31,0.23,1.1,0.4
203,2299,100131,6.10,1.72,4.5,1.2
203,2313,100132,5.51,2.57,4.2,1.1
203,2325,100134,4.87,1.79,3.6,1.8
203,2353,100136,7.25,1.89,10.5,4.2
203,2410,100137,5.27,1.73,7.5,2.3
203,2471,100140,6.05,1.69,7.4,2.8
203,2552,100141,5.26,2.00,4.9,1.2
203,2598,100142,4.96,0.90,4.5,2.8
203,2656,100145,5.45,2.46,3.9,0.3
203,2662,100146,5.45,0.42,5.5,1.5
203,2790,100148,4.11,0.26,1.2,0.6
203,2798,100149,5.53,1.30,5.3,1.7
203,2801,100150,5.12,1.62,5.0,2.5
203,2804,100151,4.87,0.80,5.6,0.6
203,2813,100152,5.64,2.35,7.6,2.8
203,2851,100154,5.49,1.12,5.6,0.0
203,2877,100155,5.70,1.99,7.3,1.1
203,2885,100156,5.77,3.17,5.6,2.1
203,2890,100157,3.72,0.69,0.0,0.0
203,2900,100158,4.81,2.62,5.3,2.6
203,2901,100159,4.97,2.41,5.9,2.3
203,2902,100160,5.88,1.74,5.3,0.6
203,2915,100162,3.99,0.93,1.7,0.0
203,2916,100163,5.28,2.93,5.3,1.4
203,2917,100164,5.75,2.83,5.7,1.4
203,2918,130921,5.96,1.97,9.2,2.2
203,2919,130922,4.96,0.93,5.0,1.3
203,2920,131183,6.06,1.23,8.0,1.9
203,2921,131246,4.82,1.48,5.4,1.1
203,2922,131841,4.79,2.34,5.1,1.6
203,2923,132837,4.56,0.40,2.3,0.6
203,2924,132800,4.16,1.41,0.8,0.3
203,2925,132827,5.45,1.36,6.9,1.1
203,3322,100165,6.55,3.47,8.3,3.4
203,3331,100166,3.51,0.16,3.1,0.6
203,3338,100167,4.96,1.48,4.1,1.5
203,3382,100168,4.18,0.24,1.7,1.1
203,3481,100169,4.68,1.69,4.2,3.0
203,3500,100170,3.60,0.09,1.4,0.5
203,3526,100171,2.81,0.42,1.1,1.1
203,3535,100172,3.70,0.00,1.4,0.3
203,3561,100173,4.07,0.73,3.2,1.1
203,3577,100174,5.62,2.61,5.4,1.8
203,3585,100175,4.14,0.55,5.1,1.7
203,3604,100176,3.52,0.06,1.7,0.0
203,3632,100177,3.37,0.02,0.5,0.5
203,3657,100178,3.97,0.41,3.8,1.3
203,3662,100179,3.40,0.50,0.6,0.0
203,3666,100180,2.82,0.14,1.1,0.0
203,3668,100181,2.85,1.30,2.8,0.6
203,3670,131109,4.84,1.16,6.2,2.8
203,4077,100182,6.03,2.59,7.7,3.7
203,4130,100183,7.23,3.43,11.4,6.2
203,4243,100185,6.96,2.07,10.4,6.4
203,4250,100187,5.50,1.58,6.2,2.2
203,4257,100188,9.29,2.24,17.4,9.4
203,4271,100189,9.01,4.82,15.9,10.6
203,4294,100190,5.72,2.25,8.1,4.2
203,4508,100192,6.57,2.51,11.5,5.4
203,4682,100193,4.63,0.92,5.1,2.1
203,4715,100195,6.13,3.42,10.7,4.1
203,4716,100196,4.39,0.51,4.0,1.7
203,5200,100197,3.49,1.46,1.4,0.3
203,6905,105135,5.47,0.78,7.3,4.2
204,2048,100218,4.83,0.50,4.7,1.9
204,2120,100221,5.45,1.45,6.4,2.9
204,2150,100223,4.46,1.04,4.5,1.8
204,2155,100224,4.49,0.50,4.4,2.6
204,2238,100225,6.55,1.94,10.1,3.8
204,2376,100229,4.28,0.28,1.9,1.9
204,2388,100230,5.16,0.57,5.9,1.6
204,2421,100231,5.36,0.38,6.4,1.9
204,2431,100232,5.85,0.20,8.1,3.0
204,2444,100233,4.74,0.55,2.7,1.5
204,2450,100234,6.51,1.59,7.5,4.2
204,2487,100235,4.84,0.24,3.4,0.0
204,2489,100236,5.35,0.91,6.2,2.4
204,2532,100239,5.86,0.77,6.1,1.2
204,2533,130302,4.64,0.67,5.0,1.1
204,2534,130303,5.41,1.30,5.5,1.8
204,2539,100240,5.76,1.35,8.4,2.5
204,2545,100241,5.65,1.57,5.3,1.9
204,2564,100242,6.37,0.64,8.5,2.5
204,2592,100243,6.66,2.27,7.4,3.2
204,2615,100244,5.96,0.83,4.1,2.3
204,2636,100245,6.00,1.27,9.2,2.3
204,2654,100248,5.66,0.84,8.2,2.4
204,2779,100250,4.84,0.75,6.0,3.8
204,2795,100251,5.72,1.15,5.3,2.2
204,2856,100252,4.54,0.58,3.4,0.6
204,2859,100253,5.04,0.49,3.0,0.3
204,2860,100254,6.54,2.23,8.9,3.3
204,2861,100255,5.68,1.33,4.9,1.6
204,2862,100256,5.60,0.63,3.8,1.1
204,2863,100257,4.72,0.63,2.8,1.1
204,2864,100258,5.67,1.91,7.2,1.4
204,2865,100259,6.66,0.24,8.4,3.6
204,2872,100260,6.68,0.50,10.6,3.5
204,2896,100261,6.01,1.54,8.5,3.0
204,2897,130932,3.53,0.46,1.7,0.6
204,2898,131141,6.38,1.61,9.6,3.5
204,2899,131706,4.68,0.35,2.8,0.3
204,2900,133669,3.55,0.05,4.0,2.0
204,3000,132137,5.14,0.52,5.6,1.1
204,3358,100263,5.23,0.58,4.6,0.6
204,3371,100264,4.45,0.00,4.9,1.6
204,3458,100266,5.05,0.51,5.8,2.6
204,3543,100267,6.60,1.26,9.7,6.1
204,3553,100268,3.80,0.15,1.7,0.6
204,3572,100269,4.57,1.56,5.2,1.3
204,3616,100270,3.67,0.98,3.3,0.0
204,3618,100271,5.13,0.76,4.8,2.4
204,3659,100274,5.15,0.93,3.2,0.5
204,3663,100275,5.69,0.47,7.6,3.1
204,3664,134639,4.39,0.01,4.2,1.7
204,3665,134961,5.76,1.30,5.8,1.9
204,3666,121792,5.62,0.47,4.7,0.6
204,4283,100277,7.50,3.27,14.0,5.6
204,4302,100278,5.13,1.50,7.2,3.6
204,4310,100279,6.70,0.93,9.8,5.1
204,4318,133599,5.65,0.11,1.0,0.7
204,4641,100282,4.59,0.65,4.0,1.8
204,4697,100284,7.86,1.87,13.7,8.0
204,4714,100285,5.70,0.74,9.1,5.5
204,6905,134693,5.21,0.75,7.1,3.8
204,6906,131062,6.34,2.31,9.6,4.6
204,6907,131609,6.08,1.36,7.8,3.6
204,6908,135835,4.42,0.80,3.5,1.3
204,6909,136137,4.99,1.22,5.3,1.9
205,2002,100321,5.84,1.19,6.1,1.5
205,2026,100322,5.59,1.17,6.8,1.7
205,2045,100323,8.35,4.09,14.5,6.1
205,2061,100324,4.97,0.59,4.2,2.1
205,2089,100325,5.82,2.84,4.6,2.5
205,2134,100326,6.92,0.59,10.3,2.6
205,2223,100328,6.46,1.34,4.5,0.6
205,2286,100329,6.81,3.58,9.8,5.3
205,2309,100330,7.78,1.80,15.1,4.8
205,2350,100331,4.86,0.94,2.9,1.2
205,2367,100332,7.39,1.98,8.3,3.2
205,2383,100333,6.28,0.57,7.1,1.1
205,2408,100334,7.34,2.00,8.9,1.9
205,2444,100335,6.14,1.36,5.6,1.7
205,2484,100337,5.40,1.71,7.4,2.3
205,2555,100338,6.70,1.96,9.0,2.7
205,2577,100339,8.08,3.30,17.3,4.6
205,2632,100340,6.02,1.61,6.4,3.9
205,2660,100341,6.55,0.39,6.5,2.6
205,2913,100343,5.28,0.85,4.9,2.4
205,3300,100344,4.62,0.51,1.8,0.0
205,3354,100345,6.45,0.07,6.1,1.1
205,3368,100346,3.90,0.96,2.2,0.0
205,3378,100347,4.55,0.30,2.8,0.6
205,3463,100349,5.23,0.83,4.9,1.5
205,3529,100350,4.11,0.03,2.4,1.8
205,3566,100351,5.64,1.73,6.3,3.4
205,3578,100352,3.86,0.82,1.6,0.0
205,3600,100353,4.02,0.00,2.8,0.6
205,3602,100354,5.41,0.28,7.8,3.4
205,3645,100355,3.79,0.34,0.5,0.5
205,3648,100357,5.65,0.96,8.9,3.5
205,3649,134009,4.52,0.09,3.6,0.8
205,3650,134273,7.52,2.36,10.1,1.9
205,4106,100358,10.89,4.07,21.7,12.5
205,4314,100359,7.24,2.12,11.0,5.8
205,4315,100360,5.83,0.38,6.9,2.6
205,4319,100361,5.94,2.04,8.5,3.2
205,4320,133545,SUPP,SUPP,SUPP,SUPP
205,4620,100363,4.10,0.31,2.9,1.7
205,4632,100364,5.89,0.53,7.5,3.3
205,5400,100365,5.11,0.03,5.0,2.0
205,6905,131752,5.72,2.60,7.7,4.2
206,2015,100397,6.40,2.00,10.4,3.7
206,2128,100401,6.12,1.43,10.5,4.2
206,2166,100402,4.80,0.90,4.8,0.0
206,2170,100403,6.42,1.59,6.5,1.6
206,2251,100405,4.44,0.47,4.0,0.0
206,2261,100406,6.19,0.97,8.1,3.7
206,2279,100407,4.82,0.89,4.4,0.7
206,2282,100408,5.80,1.99,5.5,2.7
206,2379,100411,7.93,1.80,13.8,5.5
206,2429,100415,7.34,2.13,9.7,1.3
206,2455,100418,5.69,0.69,6.8,2.3
206,2515,100422,6.59,1.93,8.1,3.2
206,2596,100425,5.39,1.12,5.9,1.2
206,2624,100426,6.25,0.85,10.1,2.9
206,2643,100427,4.87,0.70,3.9,1.7
206,2646,100428,7.47,1.58,11.9,4.0
206,2666,100429,3.21,0.69,0.8,0.6
206,2803,100430,6.13,2.77,9.3,2.1
206,2805,100431,6.88,1.66,8.8,3.2
206,2809,100432,6.82,1.51,10.8,7.6
206,2850,100434,5.55,1.03,4.7,1.8
206,2851,100435,4.66,1.08,4.7,2.7
206,2852,131218,6.94,3.24,8.0,2.8
206,2853,131325,8.00,2.96,12.4,5.7
206,2854,131773,6.12,1.60,8.3,4.3
206,2855,131842,6.61,2.25,8.1,2.6
206,2856,131741,6.42,2.15,6.8,2.8
206,2857,131740,7.83,1.89,17.8,9.3
206,3334,100436,4.90,0.66,5.8,1.7
206,3384,100437,4.77,0.85,4.9,1.1
206,3456,100438,4.99,0.83,5.4,2.3
206,3465,100439,6.62,1.52,10.8,3.0
206,3471,100440,3.94,1.41,2.9,2.3
206,3483,100441,3.89,0.73,1.8,0.6
206,3488,100442,4.86,0.27,2.2,1.1
206,3495,100443,4.47,1.06,4.4,1.1
206,3501,100444,4.20,0.55,3.6,0.6
206,3527,100446,5.94,1.82,7.8,4.2
206,3575,100447,5.67,0.41,8.4,4.2
206,3606,100448,5.90,1.74,8.1,3.8
206,3631,100449,4.57,0.11,4.7,0.9
206,3633,100450,4.44,0.23,4.4,1.4
206,3643,100451,4.78,1.07,6.1,0.7
206,3644,134413,7.35,3.00,12.1,5.7
206,4108,100452,5.47,0.21,8.1,3.2
206,4112,100453,5.99,2.18,7.6,3.1
206,4307,100455,6.57,1.72,7.8,4.4
206,4324,100457,6.11,1.70,7.5,3.7
206,4325,131690,8.52,4.34,15.7,9.2
206,4614,100458,6.76,0.96,8.9,4.2
206,4651,100459,5.96,0.49,9.3,3.6
206,4704,100460,5.81,0.38,7.9,3.7
206,6905,134314,7.22,2.23,12.6,7.0
206,6906,135587,5.93,1.38,11.0,4.1
207,2021,100477,6.98,1.48,8.0,4.3
207,2030,100478,6.08,0.98,10.0,3.9
207,2050,100479,5.52,1.31,2.7,0.8
207,2060,100480,5.31,0.23,5.3,1.7
207,2121,100481,7.58,3.30,12.1,4.7
207,2229,100482,4.92,0.67,3.7,1.1
207,2399,100483,6.38,0.92,6.8,2.3
207,2416,100484,6.89,2.02,8.5,3.7
207,2452,100485,7.11,0.59,9.6,4.6
207,2456,100486,6.71,0.99,8.3,2.0
207,2538,100487,7.17,1.89,7.9,3.9
207,2594,100488,4.12,0.13,2.7,1.1
207,3321,100489,4.31,0.39,4.9,0.5
207,3356,100490,6.18,0.35,6.7,2.8
207,3379,100491,5.27,0.86,4.9,1.1
207,3402,100492,5.57,0.52,4.5,1.7
207,3417,100493,5.77,0.06,6.0,1.1
207,3437,100494,5.69,0.11,7.7,1.9
207,3455,100495,5.74,0.98,7.8,1.1
207,3477,100496,5.50,1.03,5.1,3.9
207,3504,100497,3.74,0.23,1.6,0.5
207,3541,100498,6.59,1.89,6.7,3.3
207,3542,100499,6.01,2.81,9.1,3.8
207,3613,100500,5.33,0.07,6.1,2.2
207,4320,100501,4.31,0.87,5.4,2.8
207,4681,100502,5.00,1.08,6.1,2.9
207,4801,100503,8.20,2.72,13.9,8.5
207,5200,100504,4.77,0.17,5.2,1.7
207,5201,100505,4.29,0.03,4.0,1.6
207,5402,100506,3.95,0.05,2.7,1.6
207,6905,135531,5.62,1.11,4.5,2.1
208,2022,100556,4.54,0.61,4.4,0.0
208,2115,100560,5.09,1.03,6.4,1.1
208,2265,100564,5.20,0.73,5.8,4.2
208,2292,100566,5.35,0.06,7.8,3.8
208,2295,100567,3.92,0.39,2.4,0.9
208,2331,100572,5.87,3.28,5.4,1.8
208,2332,100573,5.58,1.30,4.9,3.0
208,2359,100574,3.89,1.63,1.6,1.2
208,2371,100576,7.17,3.22,10.7,5.2
208,2459,100577,3.53,0.65,0.0,0.0
208,2504,100578,5.79,1.50,7.8,2.7
208,2575,100584,3.86,1.33,2.6,0.4
208,2578,100585,4.91,1.14,4.0,1.4
208,2591,100586,5.75,0.49,7.1,1.8
208,2617,100588,5.51,0.70,5.7,3.8
208,2626,100589,3.67,0.47,2.5,1.0
208,2657,100590,5.28,0.94,3.4,0.6
208,2664,100591,6.39,1.08,11.0,4.2
208,2783,100593,6.08,1.51,8.1,2.3
208,2785,100595,5.36,3.16,5.7,3.4
208,2794,100597,5.07,1.74,3.8,1.9
208,2808,100598,5.60,1.55,5.8,1.2
208,2836,100601,6.27,3.64,7.8,4.5
208,2868,100604,7.51,0.79,8.1,2.0
208,2895,100608,5.46,0.21,8.8,2.2
208,2897,131247,5.74,1.02,6.2,4.5
208,2898,131340,8.08,1.74,14.9,8.9
208,2899,131335,4.98,0.50,5.0,1.9
208,2900,131824,5.49,1.80,7.0,4.0
208,2901,131874,5.04,2.07,2.9,0.8
208,2902,100582,5.70,1.62,5.8,1.9
208,2903,133315,5.24,1.99,6.8,2.9
208,2905,133584,7.20,0.46,9.1,5.1
208,3000,133662,5.00,1.68,5.1,1.1
208,3307,100609,3.64,0.11,3.3,0.6
208,3324,100610,5.79,3.22,8.4,4.2
208,3329,100611,4.86,0.24,5.5,1.6
208,3375,100612,3.77,0.00,2.3,1.2
208,3403,100613,3.88,1.91,3.8,1.1
208,3457,100614,3.08,0.00,2.2,0.6
208,3466,100615,4.71,1.91,6.0,2.4
208,3491,100616,4.02,2.17,4.5,2.3
208,3493,100617,4.64,0.65,3.8,2.2
208,3499,100618,6.20,1.12,5.9,2.2
208,3502,100619,6.11,1.06,10.6,3.9
208,3589,100620,3.64,0.73,2.7,1.1
208,3596,100621,5.00,0.36,4.3,0.0
208,3621,100622,5.60,2.61,9.6,3.5
208,3641,100623,3.77,0.01,0.4,0.4
208,3642,134507,4.52,1.22,1.3,0.6
208,3643,135614,5.52,2.65,6.2,2.3
208,4223,100624,6.38,1.24,8.7,4.2
208,4321,100625,5.87,0.94,8.7,3.8
208,4322,136450,5.93,0.82,9.6,4.0
208,4509,100627,7.76,3.64,12.0,6.4
208,4731,129649,7.68,5.10,12.0,7.4
208,5200,100628,4.91,0.68,3.3,0.8
208,5201,100629,3.77,0.12,1.8,0.3
208,5202,100630,2.81,0.00,1.7,1.0
208,5203,100631,5.87,0.38,6.6,2.5
208,5204,100632,4.09,0.45,3.3,0.8
208,5205,100633,4.49,0.91,4.7,1.4
208,5206,100634,3.98,0.57,1.1,0.0
208,5207,136288,6.20,2.34,8.3,4.8
208,5208,100636,4.23,0.00,4.7,0.7
208,5209,100602,3.39,0.73,1.8,0.5
208,5400,100637,5.13,0.49,6.1,2.8
208,5401,100638,4.77,0.52,5.1,2.4
208,5402,100639,6.23,2.01,7.4,3.3
208,5403,100640,4.57,0.16,4.7,1.8
208,5404,100641,5.61,1.10,7.1,4.0
208,5405,100642,6.66,1.21,10.4,3.8
208,6905,134815,7.90,3.23,12.9,7.3
208,6906,135389,5.91,1.13,6.6,2.3
209,2000,100671,5.60,1.91,5.7,1.4
209,2023,100672,5.19,1.34,6.5,1.3
209,2029,100673,5.17,1.33,4.4,0.6
209,2068,100674,6.27,2.61,7.0,2.8
209,2108,100675,4.95,1.80,6.2,1.8
209,2127,100676,4.40,0.62,3.9,1.1
209,2148,100677,4.27,1.07,4.0,0.7
209,2158,100678,5.71,1.75,6.6,3.1
209,2163,100679,5.56,1.63,8.4,2.9
209,2187,100680,4.67,0.38,5.3,1.1
209,2197,100681,5.42,2.00,5.6,2.4
209,2225,100683,8.33,3.89,17.7,7.5
209,2259,100684,5.41,0.90,5.5,1.7
209,2267,100685,3.64,0.85,1.7,0.0
209,2289,100686,6.34,2.32,9.2,6.0
209,2304,100687,5.13,0.42,4.7,1.6
209,2307,100688,4.38,1.41,3.8,0.7
209,2342,100689,3.32,0.57,1.5,0.5
209,2347,100690,6.67,2.81,11.0,3.7
209,2349,100691,5.36,0.74,8.3,3.3
209,2374,100692,8.14,3.18,14.0,5.0
209,2381,100693,4.77,0.96,5.3,0.9
209,2384,100694,6.66,2.18,10.4,4.1
209,2390,100695,6.34,3.68,10.5,4.9
209,2403,100696,6.39,3.08,10.0,3.7
209,2491,100699,4.81,0.77,6.7,1.3
209,2493,100700,5.69,1.40,7.2,1.0
209,2529,100701,5.01,1.01,3.8,1.6
209,2535,100702,3.88,0.19,1.7,0.3
209,2536,100703,4.67,0.55,2.4,0.0
209,2570,100704,5.50,0.54,3.9,1.2
209,2571,100705,4.90,0.29,4.9,1.6
209,2599,100706,4.13,1.38,3.1,0.9
