LA,URN,NTEA,NTEAAS,NNONTEA,NFTETEA,NFTETEAAS,RATPUPTEA,SALARY
201,100000,14,13,5,12.7,8.1,17.9,40900
202,100008,21,25,14,20.4,12.2,23,46300
202,100009,24,29,5,21.7,20,20.7,43800
202,100010,23,33,5,22.2,16.9,14.9,39300
202,100011,24,10,9,21.8,5.1,21.4,42900
202,100012,21,37,8,20.2,19.5,20.8,41800
202,100013,19,26,5,14.8,10.7,NA,NA
202,100014,13,14,3,11.7,7,20,41400
202,100015,6,6,4,5.4,3.3,19.2,48700
202,100018,31,56,9,28.4,31.8,31.3,44000
202,100019,23,21,8,18.4,13.8,25.8,50000
202,100020,23,23,9,21.7,20.3,22.7,45700
202,100021,26,32,15,22.9,19.2,18.6,44500
202,100022,22,26,12,21.7,16.2,20.8,43600
202,100023,13,8,2,12,4.3,21.5,41400
202,100024,14,11,11,11,7,24.8,46600
202,100025,22,41,10,20.8,24.2,23.4,47800
202,100026,10,11,3,10,9.9,23,43600
202,100027,13,9,5,11.7,6.3,24.3,47000
202,130342,13,18,9,10.6,8.9,25.1,43200
202,132245,17,18,7,15.8,13.7,29.7,40800
202,100028,11,8,3,0,0,NA,NA
202,100029,12,13,4,11.4,7.3,23,40900
202,100030,6,7,2,5.6,5.7,18.8,39200
202,100031,9,9,4,9,6.2,25.5,37900
202,100032,10,9,3,9.8,8.1,18.9,37700
202,100033,16,13,2,14.2,6.5,15.8,41500
202,100034,17,24,4,16.3,10.9,17.8,44000
202,100035,17,20,6,15.2,11.2,24.6,46300
202,100036,12,21,5,11.2,11.7,19.3,41700
202,100037,12,12,2,11,10.6,20.4,46500
202,100038,11,15,3,10.2,11.1,19.6,43400
202,100039,15,18,11,13.6,12.4,28.9,43800
202,100040,11,11,3,11,9.8,21,40800
202,100041,11,12,5,10.3,7.8,19.9,39200
202,100042,9,9,3,8.2,6.6,27.9,45300
202,100043,13,14,5,12.8,10.9,18.6,40400
202,100044,16,12,5,13.4,7.7,17,42000
202,100045,14,11,4,13.4,4.7,21.5,41400
202,100046,12,8,2,9.6,5.8,21.6,41400
202,100047,11,7,4,10.6,6.6,20.6,48000
202,100048,8,7,3,6.9,7,24.6,38100
202,100049,101,11,32,98.2,9.3,13.9,48100
202,100050,125,22,51,112.7,14.6,12.4,45900
202,100051,88,28,36,83.4,11.5,10.6,44200
202,100052,105,38,30,98.3,19.7,13.8,43500
202,100053,94,13,22,89.2,5.8,14.4,47300
202,100054,102,23,34,77.1,12,13.3,49100
202,100055,80,15,27,75,13.6,11.3,48200
202,100056,80,28,19,75.7,9.4,11.8,49100
202,100059,92,17,28,86,9.9,14.2,45600
202,100091,9,20,4,6.8,8.3,3.8,51900
202,100092,12,4,4,11.1,0,3.6,53200
202,100093,7,27,10,7,12,8,51700
202,100096,23,58,13,21.3,47.4,8.5,50300
203,100111,24,35,11,22.5,9.9,19.2,41900
203,100112,16,19,21,14,14.2,16.6,44700
203,100113,18,16,6,16.9,7.8,24.5,42600
203,100114,18,14,4,17.2,10.5,17.5,37600
203,100115,16,23,5,13,6.9,17.2,38400
203,100120,16,21,10,15.7,8.7,18.6,37400
203,100125,14,11,6,13,5.6,25.6,44100
203,100126,22,24,4,22,12,18.8,39700
203,100127,24,19,4,20,10.6,22.2,39500
203,100128,17,29,27,14.7,13.5,15.5,43800
203,100129,13,16,4,12.3,11.7,22,41700
203,100130,17,13,6,14.4,7.7,21.6,42100
203,100131,19,19,4,17.3,6.9,18,44100
203,100132,21,30,5,19.4,12.2,18.4,38700
203,100134,13,20,8,11.8,7.2,17.5,40700
203,100136,16,17,8,16,8.1,19,43600
203,100137,19,20,4,15.5,12.4,15,32500
203,100140,30,31,6,28.2,15.5,19.6,44400
203,100141,26,26,7,22.9,10.9,20.9,42000
203,100142,15,12,4,13.6,0,16.8,37900
203,100145,24,14,7,21.2,8.5,18.1,40200
203,100146,30,35,5,18.9,15.2,22.2,43900
203,100148,14,16,5,10.1,7.4,22.1,40700
203,100149,20,20,4,18.6,11.6,23,40900
203,100150,20,23,7,18.3,10.9,19.1,37800
203,100151,13,15,5,11.5,6.4,19.4,41200
203,100152,19,26,8,18.5,17.8,25.3,46200
203,100154,14,11,6,11.8,5.8,15.5,43100
203,100155,25,26,23,21.3,13.1,22.2,46700
203,100156,26,34,8,24.9,21.4,19.4,40000
203,100157,13,11,5,11.7,6.5,20.1,44800
203,100158,32,31,7,29.5,12.8,20,35600
203,100159,29,29,4,26.3,20.7,17.6,39400
203,100160,15,14,8,12.8,7.4,17,40300
203,100162,14,18,4,11.6,6.9,19.8,46900
203,100163,26,33,23,23.8,19.1,20.2,40000
203,100164,17,24,9,16.8,10.9,27.4,39500
203,130921,20,28,5,18.6,16.7,19.4,40100
203,130922,27,24,6,22.7,10.3,18.2,42500
203,131183,36,30,10,34.2,17.2,18.5,39200
203,131246,32,29,7,24.5,15.6,18.6,42600
203,131841,30,59,4,27.9,33.8,18.6,41600
203,132837,23,22,9,20.4,9.6,22,46100
203,132800,21,32,6,19.2,5.7,22.8,39100
203,132827,24,21,30,22.2,10.6,24.7,46800
203,100165,10,11,2,9.2,6.3,16.8,42200
203,100166,12,11,3,10.2,6.4,18.3,43100
203,100167,17,24,3,13.2,6,23.3,39100
203,100168,12,10,4,10.5,5.5,19.4,44600
203,100169,15,14,6,10.4,7.2,18.2,40300
203,100170,14,20,5,12.2,12.5,22.9,44600
203,100171,14,16,4,13.4,9.6,19.1,44300
203,100172,24,18,6,22.8,9.4,20.4,46000
203,100173,17,18,6,15.8,12.4,21.4,37800
203,100174,11,10,5,10.2,4.8,20.6,44900
203,100175,12,12,4,9.9,9.3,20.3,39300
203,100176,11,9,3,10,4.7,20.4,41700
203,100177,14,18,3,12.1,6.9,19.1,42900
203,100178,12,11,10,10.4,3.5,17.9,41800
203,100179,12,12,5,11.4,6.4,17.6,37200
203,100180,14,12,4,11,6.3,23.5,36400
203,100181,10,16,4,10,8,22.1,46300
203,131109,14,18,9,14,10.1,20.3,39000
203,100182,63,36,29,57.6,13.2,15.6,45700
203,100183,154,58,76,133.3,30.3,15.2,45400
203,100185,97,44,40,93.2,25.1,14.6,45500
203,100187,111,39,26,103,8,11.8,42200
203,100188,62,25,37,61.2,18.2,16.8,41300
203,100189,136,45,64,131.4,0.8,11.7,44800
203,100190,133,51,41,126.1,0,13.9,48000
203,100192,96,28,37,90.9,11,13.9,45100
203,100193,41,7,19,39.8,2.8,15.7,44800
203,100195,59,11,20,56.8,0.9,12.3,41000
203,100196,45,18,33,37.8,6.9,16.9,49200
203,133313,101,24,31,90.6,17.9,28.1,46200
203,100197,23,47,7,21.7,19.8,22.7,46800
203,105135,76,30,20,73.4,18.1,14.1,47300
203,100204,11,9,4,10.1,8.8,4.1,44900
203,133400,43,91,34,39.7,0.5,6.2,44400
203,133401,20,18,4,18.4,14.9,1.6,50200
203,133399,37,105,15,34.8,82,5,48100
204,100218,27,21,5,26.5,11.2,19,42300
204,100221,11,12,6,11,8.6,19.1,38400
204,100223,30,32,14,29.8,23.7,19.7,41100
204,100224,18,13,5,17.7,7.5,20.3,40000
204,100225,23,17,11,22.6,11.4,18.4,38300
204,100229,14,19,12,13.2,10.8,24.1,40500
204,100230,23,10,3,22.8,7.7,18.1,35000
204,100231,29,46,26,28.2,40.1,20.9,40800
204,100232,19,19,4,19,10.7,22.8,38900
204,100233,26,20,5,25.2,11.6,19.2,38500
204,100234,22,12,10,21.2,7.6,20,40800
204,100235,18,17,5,16.4,13.9,15.6,39000
204,100236,26,24,9,24.9,14.5,18.7,41400
204,100239,23,29,11,20.4,12.7,21.4,44600
204,130302,18,25,8,18,13.5,25.8,43900
