"Variable","Label","Type","Description"
"RECTYPE","Record type","INTEGER",""
"ALPHAIND","Alphabetic sorting index","",""
"LEA","Local authority number","",""
"ESTAB","School number","",""
"URN","Unique Reference Number","",""
"SCHNAME","School name","",""
"ADDRESS1","Street","",""
"ADDRESS2","Locality","",""
"ADDRESS3","Address","",""
"TOWN","Town","",""
"PCODE","Postcode","",""
"TELNUM","Telephone number","",""
"URN_AC","Converter academy : urn","",""
"SCHNAME_AC","Converter academy : name","",""
"OPEN_AC","Converter academy: open date","",""
"NFTYPE","","",""
"RELDENOM","Denomination","",""
"AGERANGE","Age range","",""
"TAB15","School published in KS4 tables","YESNO",""
"TAB1618","School published in KS5 tables","YESNO",""
"TOTPUPS","Number of pupils on roll","INTEGER",""
"TPUPYEAR","Pupils on roll aged 10","INTEGER",""
"TELIG","Pupils eligible for KS2 assessment","INTEGER",""
"TKS1APS","Average KS1 point score","FLOAT1",""
"TKS1EXP_L","Number in cohort below expected level at the end of KS1","INTEGER",""
"PKS1EXP_L","Percentage in cohort below expected level at the end of KS1","PCT",""
"TKS1EXP_M","Number in cohort below expected level at the end of KS1","INTEGER",""
"PKS1EXP_M","Percentage in cohort below expected level at the end of KS1","PCT",""
"TKS1EXP_H","Number in cohort above expected level at the end of KS1","INTEGER",""
"PKS1EXP_H","Percentage in cohort above expected level at the end of KS1","PCT",""
"TEALGRP2","Number of pupils for whom English is not first language","INTEGER",""
"PTEALGRP2","Percentage of pupils for whom English is not first language","PCT",""
"SENELS","Number of pupils with statements or supported at school action plus","INTEGER",""
"PSENELS","Percentage of Pupils with statements or supported at school action plus","PCT",""
"PT2ENG12","Percentage of pupils making expected progress in English","PCT",""
"COVENG12","Pupils included in the English progress measure","PCT",""
"PT2MATH12","Percentage of pupils making expected progress in maths","PCT",""
"COVMATH12","Pupils included in the maths progress measure","PCT",""
"PT2ENG12_L","Percentage of pupils making expected progress in English: low attainers","PCT",""
"PT2ENG12_M","Percentage of pupils making expected progress in English:middle attainers","PCT",""
