"Column","Metafile heading","Metafile description","Null field for special schools","Null field for Local Authority","Null field for National records"
"1","RECTYPE","Record type (1=mainstream school; 2=special school; 4=Local Authority; 5=National (all schools); 7=National (maintained schools))","","",""
"2","ALPHAIND","Alphabetic sorting index","","Yes","Yes"
"3","LEA","Local Authority code (see separate list of Local Authorities and their codes) ","","","Yes"
"4","ESTAB","Establishment number","","Yes","Yes"
"5","URN","School Unique Reference Number","","Yes","Yes"
"6","SCHNAME","School name","","Yes","Yes"
"7","SCHNAME_AC","School now know as (used if the school has converted to an academy after 12 Sept 2010)","","Yes","Yes"
"8","CONTFLAG","Contingency flag - school results 'significantly affected'. This field is zero for all schools. ","","","Yes"
"9","ICLOSE","Closed school flag (0=open; 1=closed)","","Yes","Yes"
"10","NFTYPE","School type (see separate list of abbreviations used in the Tables)","","Yes","Yes"
"11","FEEDER","Indicates whether school is a feeder school for sixth form centre/consortia (0=No; 1=Yes)","","Yes","Yes"
"12","TABKS2","Indicates whether school is published in the Primary School (Key Stage 2) Performance Tables (0=No; 1=Yes)","","Yes","Yes"
"13","TAB1618","Indicates whether school is published in the School and College (Key Stage 5) Performance Tables (0=No; 1=Yes)","","Yes","Yes"
"14","CONFEXAM","Flag ('R') indicates no confirmation that school has checked its results ","","Yes","Yes"
"15","TOTPUPS","Number of pupils on roll (all ages)","","",""
"16","TPUP","Number of pupils at the end of Key Stage 4","","",""
"17","KS2APS","Key Stage 2 Average Points Score of Key Stage 4 cohort","","",""
"18","TPRIORLO","Number of pupils starting Key Stage 4 in low prior attainment band","","",""
"19","PTPRIORLO","Percentage of pupils starting Key Stage 4 in low prior attainment band","","",""
"20","TPRIORAV","Number of pupils starting Key Stage 4 in middle prior attainment band","","",""
"21","PTPRIORAV","Percentage of pupils starting Key Stage 4 in middle prior attainment band","","",""
"22","TPRIORHI","Number of pupils starting Key Stage 4 in high prior attainment band","","",""
"23","PTPRIORHI","Percentage of pupils starting Key Stage 4 in high prior attainment band","","",""
"24","TFSMCLA","Number of Key Stage 4 disadvantaged pupils who are either eligible for free school meals (FSM) or have been looked after continuously (CLA) by the Local Authority for 6 months ","","",""
"25","PTFSMCLA","Percentage of Key Stage 4 disadvantaged pupils who are either eligible for free school meals (FSM) or have been looked after continuously (CLA) by the Local Authority for 6 months ","","",""
"26","TNOTFSMCLA","Number of Key Stage 4 pupils who are not disadvantaged i.e. who are not eligible for free school meals (FSM) or who have not been looked after continuously (CLA) by the Local Authority for 6 months ","","",""
"27","PTNOTFSMCLA","Percentage of Key Stage 4 pupils who are not disadvantaged i.e. who are not eligible for free school meals (FSM) or who have not been looked after continuously (CLA) by the Local Authority for 6 months ","","",""
"28","TEALGRP2","Number of Key Stage 4 pupils with English as an additional language (EAL)","","",""
"29","PTEALGRP2","Percentage of Key Stage 4 pupils with English as an additional language (EAL)","","",""
"30","SENAPS4","Number of Key Stage 4 pupils with statements of SEN (Special Educational Need) or on School Action Plus","Yes","",""
"31","PSENAPS4","Percentage of Key Stage 4 pupils with statements of SEN (Special Educational Need) or on School Action Plus","Yes","",""
"32","PT24EngPrg","Percentage of pupils achieving expected level of progress between Key Stage 2 and GCSE English at the end of Key Stage 4  ","","",""
