URN,COHORT,OVERALL,FEC,OTHERFE,SSF,SFC,APPREN,HEI,COMBO,KNOWN,UNKNOWN,OVERALLPER,FECPER,OTHERFEPER,SSFPER,SFCPER,APPRENPER,HEIPER,COMBOPER,KNOWNPER,UNKNOWNPER
100049,190,160,30,SUPP,125,5,5,0,0,20,5,86%,16%,SUPP,67%,3%,2%,0%,0%,10%,4%
100050,170,150,20,5,125,5,5,0,SUPP,10,10,88%,12%,3%,72%,2%,2%,0%,SUPP,6%,5%
100051,170,150,65,5,75,0,5,0,SUPP,15,10,87%,39%,2%,45%,0%,4%,0%,SUPP,8%,5%
100052,200,170,30,SUPP,130,5,5,SUPP,0,20,15,82%,14%,SUPP,64%,2%,1%,SUPP,0%,9%,8%
100053,180,140,30,5,105,SUPP,5,0,0,15,20,80%,17%,3%,59%,SUPP,4%,0%,0%,9%,11%
100054,110,110,15,0,90,0,SUPP,0,0,SUPP,5,94%,15%,0%,79%,0%,SUPP,0%,0%,SUPP,4%
100055,150,130,30,5,85,5,SUPP,0,SUPP,15,5,87%,21%,3%,58%,5%,SUPP,0%,SUPP,10%,3%
100056,130,110,15,SUPP,85,5,SUPP,0,0,10,5,86%,12%,SUPP,70%,2%,SUPP,0%,0%,9%,6%
100059,180,170,20,0,135,15,SUPP,0,0,5,5,94%,10%,0%,76%,8%,SUPP,0%,0%,3%,3%
100182,190,160,50,5,80,30,5,0,SUPP,20,10,84%,25%,2%,42%,15%,4%,0%,SUPP,10%,6%
100183,240,200,20,5,170,5,10,0,SUPP,20,10,86%,8%,3%,73%,3%,5%,0%,SUPP,9%,5%
137473,200,170,30,5,125,10,5,0,SUPP,20,10,85%,14%,1%,63%,6%,2%,0%,SUPP,9%,6%
100187,240,210,35,5,155,15,15,0,5,15,15,88%,14%,2%,65%,6%,6%,0%,1%,7%,5%
100189,230,190,35,SUPP,150,10,5,0,0,15,20,84%,15%,SUPP,65%,4%,2%,0%,0%,6%,10%
100190,230,200,30,5,155,15,5,0,0,15,20,85%,12%,1%,67%,6%,3%,0%,0%,6%,8%
100192,190,160,40,10,100,10,5,0,0,20,10,85%,20%,4%,54%,6%,4%,0%,0%,10%,5%
100193,120,110,15,5,45,40,5,0,0,10,5,90%,15%,3%,39%,33%,3%,0%,0%,7%,3%
100195,130,110,25,0,50,30,5,0,SUPP,10,10,84%,19%,0%,41%,24%,3%,0%,SUPP,8%,8%
100196,120,110,15,0,65,30,5,0,0,5,5,91%,12%,0%,55%,24%,3%,0%,0%,4%,5%
105135,160,140,25,SUPP,40,75,5,0,0,10,5,91%,17%,SUPP,24%,49%,4%,0%,0%,7%,2%
100277,160,120,50,5,30,35,0,0,0,25,15,76%,32%,2%,20%,23%,0%,0%,0%,16%,8%
137442,160,150,30,SUPP,70,45,5,0,0,10,5,90%,20%,SUPP,43%,27%,2%,0%,0%,6%,4%
100279,240,190,75,5,85,30,5,0,0,30,15,81%,31%,1%,37%,12%,1%,0%,0%,12%,7%
133599,50,40,25,0,10,0,0,SUPP,0,SUPP,10,78%,53%,0%,22%,0%,0%,SUPP,0%,SUPP,18%
100282,120,110,15,5,70,20,SUPP,0,0,5,SUPP,94%,13%,3%,61%,18%,SUPP,0%,0%,4%,SUPP
100284,140,110,50,5,10,40,SUPP,0,0,15,15,76%,37%,3%,6%,29%,SUPP,0%,0%,12%,12%
100285,150,130,35,5,55,30,5,0,SUPP,15,10,85%,25%,3%,36%,19%,5%,0%,SUPP,9%,6%
134693,180,170,35,5,105,25,5,0,0,10,5,91%,18%,3%,56%,13%,4%,0%,0%,7%,3%
131062,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
