LA,URN,NTEA,NTEAAS,NNONTEA,NFTETEA,NFTETEAAS,NFTENONTEA,RATPUPTEA,SALARY
201,100000,19,13,13,15.2,8.5,12.5,15.8,41959
202,100005,4,1,16,4.0,0.9,16.0,17.8,50349
202,136807,3,1,2,1.6,1.0,1.0,10.0,NA
202,100008,19,18,12,18.2,13.8,9.8,27.6,47551
202,100009,26,25,3,23.7,20.6,3.0,19.2,44618
202,100010,18,23,5,17.6,16.6,4.5,19.1,39431
202,100011,20,9,10,18.6,7.5,7.1,27.8,39129
202,100012,19,27,5,18.5,18.0,5.0,26.8,44607
202,100013,14,16,NA,12.5,10.4,NA,NA,NA
202,100014,14,14,3,12.3,9.1,2.7,19.1,40049
202,100015,6,5,4,5.4,2.9,3.2,19.1,54089
202,100018,27,44,9,24.6,30.7,6.9,27.7,43647
202,100019,20,18,6,16.5,13.3,5.2,26.7,48779
202,100020,24,27,9,22.5,24.1,7.8,22.1,42534
202,100021,22,28,11,20.7,20.3,8.1,21.4,41375
202,100022,23,23,12,21.8,16.9,11.1,22.3,46045
202,100023,13,6,2,12.0,4.1,2.0,21.5,43133
202,100024,12,10,7,10.2,7.2,5.3,22.6,44093
202,100025,23,35,9,21.6,25.7,6.7,22.6,45085
202,100026,10,16,2,9.8,14.1,2.0,23.8,42814
202,100027,12,8,5,10.9,5.5,3.6,21.7,44188
202,130342,12,17,7,10.8,10.7,4.4,21.1,41287
202,132245,21,17,8,19.4,14.9,7.6,24.9,42335
202,100028,9,7,3,8.6,5.4,2.5,21.3,47024
202,100029,12,9,3,11.4,5.7,2.9,22.9,40854
202,100030,8,3,4,7.6,3.5,3.6,15.4,43014
202,100031,8,4,2,8.0,3.5,2.0,25.4,37443
202,100032,10,25,10,10.0,20.8,8.1,23.3,52170
202,100033,18,12,2,16.2,8.0,1.8,14.8,40311
202,100034,16,22,4,15.3,13.0,3.9,17.4,45063
202,100035,17,16,6,15.6,9.9,4.2,24.1,45783
202,100036,13,21,4,12.0,14.7,3.1,16.0,42453
202,100037,11,8,2,10.5,7.0,2.0,21.4,47966
202,100038,8,14,4,6.8,10.6,2.7,29.9,41647
202,100039,11,16,8,10.4,11.6,7.9,29.2,45376
202,100040,9,12,3,9.0,10.6,3.0,27.0,45237
202,100041,11,9,4,10.3,6.4,3.6,24.8,43406
202,100042,12,11,4,11.2,9.8,3.5,20.0,42663
202,100043,10,12,3,9.4,10.7,3.0,30.9,38538
202,100044,13,14,5,11.2,11.1,3.6,19.2,46696
