"Column","Metafile heading","Metafile description","Null field for special schools","Null field for Local Authority","Null field for National (all schools) records","Null field for National (maintained schools) records"
"1","RECTYPE","Record type (1=mainstream school; 2=special school; 4=Local Authority; 5=National (all schools); 7=National (maintained schools))","","","",""
"2","ALPHAIND","Alphabetic sorting index","","Yes","Yes","Yes"
"3","LEA","Local Authority code (see separate list of Local Authorities and their codes) ","","","Yes","Yes"
"4","ESTAB","Establishment number","","Yes","Yes","Yes"
"5","URN","School Unique Reference Number","","Yes","Yes","Yes"
"6","SCHNAME","School name","","Yes","Yes","Yes"
"7","SCHNAME_AC","School now know as (used if the school has converted to an academy on or after 12 Sept 2011)","","Yes","Yes","Yes"
"8","ADDRESS1","School address (1)","","Yes","Yes","Yes"
"9","ADDRESS2","School address (2)","","Yes","Yes","Yes"
"10","ADDRESS3","School address (3)","","Yes","Yes","Yes"
"11","TOWN","School town","","Yes","Yes","Yes"
"12","PCODE","School postcode","","Yes","Yes","Yes"
"13","TELNUM","School telephone number","","Yes","Yes","Yes"
"14","CONTFLAG","Contingency flag - school results 'significantly affected'. This field is zero for all schools. ","","Yes","Yes","Yes"
"15","ICLOSE","Closed school flag (0=open; 1=closed)","","Yes","Yes","Yes"
"16","NFTYPE","School type (see separate list of abbreviations used in the Tables)","","Yes","Yes","Yes"
"17","RELDENOM","School religious character","","Yes","Yes","Yes"
"18","ADMPOL","School admissions policy","","Yes","Yes","Yes"
"19","EGENDER","School gender of entry","","Yes","Yes","Yes"
"20","FEEDER","Indicates whether school is a feeder school for sixth form centre/consortia (0=No; 1=Yes)","","Yes","Yes","Yes"
"21","TABKS2","Indicates whether school is published in the Primary School (Key Stage 2) Performance Tables (0=No; 1=Yes)","","Yes","Yes","Yes"
"22","TAB1618","Indicates whether school is published in the School and College (Key Stage 5) Performance Tables (0=No; 1=Yes)","","Yes","Yes","Yes"
"23","AGERANGE","Age range","","Yes","Yes","Yes"
"24","CONFEXAM","Indicates whether the school has checked its results (0=No; 1=Yes) ","","Yes","Yes","Yes"
"25","TOTPUPS","Number of pupils on roll (all ages)","","","",""
"26","TPUP","Number of pupils at the end of Key Stage 4","","","",""
"27","KS2APS","Key Stage 2 Average Points Score of Key Stage 4 cohort","","","Yes",""
"28","TPRIORLO","Number of pupils starting Key Stage 4 in low prior attainment band","","","Yes",""
"29","PTPRIORLO","Percentage of pupils starting Key Stage 4 in low prior attainment band","","","Yes",""
"30","TPRIORAV","Number of pupils starting Key Stage 4 in middle prior attainment band","","","Yes",""
"31","PTPRIORAV","Percentage of pupils starting Key Stage 4 in middle prior attainment band","","","Yes",""
"32","TPRIORHI","Number of pupils starting Key Stage 4 in high prior attainment band","","","Yes",""
"33","PTPRIORHI","Percentage of pupils starting Key Stage 4 in high prior attainment band","","","Yes",""
"34","TFSMCLA","Number of disadvantaged pupils","","","Yes",""
"35","PTFSMCLA","Percentage of pupils who are disadvantaged","","","Yes",""
"36","TNOTFSMCLA","Number of non-disadvantaged pupils","","","Yes",""
"37","PTNOTFSMCLA","Percentage of pupils who are not disadvantaged","","","Yes",""
"38","TEALGRP2","Number of Key Stage 4 pupils with English as an additional language (EAL)","","","Yes",""
"39","PTEALGRP2","Percentage of Key Stage 4 pupils with English as an additional language (EAL)","","","Yes",""
"40","SENAPS4","Number of Key Stage 4 pupils with statements of SEN (Special Educational Need) or on School Action Plus","Yes","","Yes",""
"41","PSENAPS4","Percentage of Key Stage 4 pupils with statements of SEN (Special Educational Need) or on School Action Plus","Yes","","Yes",""
"42","PT24EngPrg","Percentage of pupils at the end of Key Stage 4 achieving expected level of progress between Key Stage 2 and GCSE English ","","","Yes",""
"43","Cov24EngPrg","Percentage of pupils included in the Key Stage 2 to Key Stage 4 English progress measure ","","","Yes",""
"44","PT24MathPrg","Percentage of pupils at the end of Key Stage 4 achieving expected level of progress between Key Stage 2 and GCSE mathematics","","","Yes",""
"45","Cov24MathPrg","Percentage of pupils included in Key Stage 2 to Key Stage 4 mathematics progress measure ","","","Yes",""
"46","PT24EngPrgLO","Percentage of pupils with low prior attainment achieving expected progress between Key Stage 2 and GCSE English","","","Yes",""
"47","PT24EngPrgAV","Percentage of pupils with middle prior attainment achieving expected progress between Key Stage 2 and GCSE English","","","Yes",""
"48","PT24EngPrgHI","Percentage of pupils with high prior attainment achieving expected progress between Key Stage 2 and GCSE English ","","","Yes",""
"49","PT24MathPrgLO","Percentage of pupils with low prior attainment achieving expected progress between Key Stage 2 and GCSE mathematics","","","Yes",""
"50","PT24MathPrgAV","Percentage of pupils with middle prior attainment achieving expectedprogress between Key Stage 2 and GCSE mathematics","","","Yes",""
"51","PT24MathPrgHI","Percentage of pupils with high prior attainment achieving expected progress between Key Stage 2 and GCSE mathematics","","","Yes",""
"52","PTAC5EM","Percentage of pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs","","","",""
"53","AC5EM09","Percentage of pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs - 2009","","","",""
"54","AC5EM10","Percentage of pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs - 2010","","","",""
"55","AC5EM11","Percentage of pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs - 2011","","","",""
"56","AC5EM12","Percentage of pupils achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs - 2012","","","",""
"57","PTAC5EMLO","Percentage of pupils with low prior attainment achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs","","","Yes",""
"58","PTAC5EMAV","Percentage of pupils with middle prior attainment achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs","","","Yes",""
"59","PTAC5EMHI","Percentage of pupils with high prior attainment achieving 5+ A*-C or equivalents including A*-C in both English and mathematics GCSEs","","","Yes",""
"60","TEBACC_E","Number of Key Stage 4 pupils with entries in all English Baccalaureate subject areas","","","",""
"61","PTEBACC_E","Percentage of Key Stage 4 pupils with entries in all English Baccalaureate subject areas","","","",""
"62","PTEBACC","Percentage of Key Stage 4 pupils achieving the English Baccalaureate","","","",""
"63","TEBACENG_E","Number of pupils entering the English Baccalaureate English subject area","","","",""
"64","PTEBACENG_E","Percentage of pupils entering the English Baccalaureate English subject area","","","",""
"65","TEBACMAT_E","Number of pupils entering the English Baccalaureate Maths subject area","","","",""
"66","PTEBACMAT_E","Percentage of pupils entering the English Baccalaureate Maths subject area","","","",""
"67","TEBAC2SCI_E","Number of pupils entering the English Baccalaureate Science subject area","","","",""
"68","PTEBAC2SCI_E","Percentage of pupils entering the English Baccalaureate Science subject area","","","",""
"69","TEBACHUM_E","Number of pupils entering the English Baccalaureate Humanities subject area","","","",""
"70","PTEBACHUM_E","Percentage of pupils entering the English Baccalaureate Humanities subject area","","","",""
"71","TEBACLAN_E","Number of pupils entering the English Baccalaureate Language subject area","","","",""
"72","PTEBACLAN_E","Percentage of pupils entering the English Baccalaureate Language subject area","","","",""
"73","PTEBACENG ","Percentage of pupils achieving the English Baccalaureate English subject area","","","",""
"74","PTEBACMAT ","Percentage of pupils achieving the English Baccalaureate Maths subject area","","","",""
"75","PTEBAC2SCI ","Percentage of entered pupils achieving the English Baccalaureate Science subject area","","","",""
"76","PTEBACHUM ","Percentage of entered pupils achieving the English Baccalaureate Humanities subject area","","","",""
"77","PTEBACLAN ","Percentage of entered pupils achieving the English Baccalaureate Language subject area","","","",""
"78","SCIVACOV","Coverage of the English Baccalaureate Science Value Added indicators of those who entered for science","","Yes","Yes","Yes"
"79","HUMVACOV","Coverage of the English Baccalaureate Humanities Value Added indicators of those who entered for humanities","","Yes","Yes","Yes"
"80","LANVACOV","Coverage of the English Baccalaureate Language Value Added indicators of those who entered for languages","","Yes","Yes","Yes"
"81","ENGVAMEA","English Baccalaureate English Value Added measure","","Yes","Yes","Yes"
"82","ENGVALOW","English Baccalaureate English Value Added lower 95% confidence limit","","Yes","Yes","Yes"
"83","ENGVAUPP","English Baccalaureate English Value Added upper 95% confidence limit","","Yes","Yes","Yes"
"84","MATVAMEA","English Baccalaureate Maths Value Added measure","","Yes","Yes","Yes"
"85","MATVALOW","English Baccalaureate Maths Value Added lower 95% confidence limit","","Yes","Yes","Yes"
"86","MATVAUPP","English Baccalaureate Maths Value Added upper 95% confidence limit","","Yes","Yes","Yes"
"87","SCIVAMEA","English Baccalaureate Science Value Added measure","","Yes","Yes","Yes"
"88","SCIVALOW","English Baccalaureate Science Value Added lower 95% confidence limit","","Yes","Yes","Yes"
"89","SCIVAUPP","English Baccalaureate Science Value Added upper 95% confidence limit","","Yes","Yes","Yes"
"90","HUMVAMEA","English Baccalaureate Humanities Value Added measure","","Yes","Yes","Yes"
"91","HUMVALOW","English Baccalaureate Humanities Value Added lower 95% confidence limit","","Yes","Yes","Yes"
"92","HUMVAUPP","English Baccalaureate Humanities Value Added upper 95% confidence limit","","Yes","Yes","Yes"
"93","LANVAMEA","English Baccalaureate Languages Value Added measure","","Yes","Yes","Yes"
"94","LANVALOW","English Baccalaureate Languages Value Added lower 95% confidence limit","","Yes","Yes","Yes"
"95","LANVAUPP","English Baccalaureate Languages Value Added upper 95% confidence limit","","Yes","Yes","Yes"
"96","PTL2BASICS","Percentage of Key Stage 4 pupils achieving grades A*-C in both English and mathematics GCSEs ","","","",""
"97","PTFSMBASICS","Percentage of disadvantaged pupils achieving grades A*-C in both English and mathematics GCSEs","","","Yes",""
"98","PTNOTFSMBASICS","Percentage of non-disadvantaged pupils achieving grades A*-C in both English and mathematics GCSEs","","","Yes",""
"99","VACOV","Coverage of Best 8 GCSE and equivalents, English and Maths Value Added indicators ","","Yes","Yes","Yes"
"100","B8VAMEA","Value Added measure based on the best 8 GCSE and equivalent results","","Yes","Yes","Yes"
"101","B8VALOW","Lower 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results","","Yes","Yes","Yes"
"102","B8VAUPP","Upper 95% confidence limit for Value Added measure based on best 8 GCSE and equivalent results","","Yes","Yes","Yes"
"103","B8VAMEA_LO","Value Added measure based on the best 8 GCSE and equivalent results for pupils with low prior attainment","","Yes","Yes",""
"104","B8VAMEA_AV","Value Added measure based on the best 8 GCSE and equivalent results for pupils with middle prior attainment","","Yes","Yes",""
"105","B8VAMEA_HI","Value Added measure based on the best 8 GCSE and equivalent results for pupils with high prior attainment","","Yes","Yes",""
