"Variable","Label","Type","Description"
"URN","Unique Reference Number","",""
"COHORT","Number of pupils","INTEGERB","Based on 2009/10 KS4 cohort"
"OVERALL","Total in a sustained education destination","INTEGERB",""
"FEC","Further Education College","INTEGER",""
"OTHERFE","Other Further Education Provider","INTEGER","Includes students undertaking Further Education provision at a Higher Education Institution"
"SSF","School Sixth Form","INTEGER",""
"SFC","Sixth Form College","INTEGER",""
"APPREN","Apprenticeships","INTEGER","Apprenticeships are identified where any qualifying learning has occurred at any time during the October to March participation period. All Apprenticeships are also reported in the Further Education College, Other Further Education Provider, School Sixth Form and Sixth Form College lines."
"HEI","UK Higher Education Institute","INTEGER",""
"COMBO","Education combination","INTEGER","Includes students who fulfilled the October to March participation criteria but through more than one type of education destination."
"KNOWN","Education destination not sustained","INTEGERB","Includes students who did not have continuous participation in education destinations from October to March."
"UNKNOWN","Activity not captured in data","INTEGERB","Includes young people who had no education activity recorded in an education dataset. Possible reasons for this could be that the young person was attending an independent college or school, was in employment, was not in employment, education or training (NEET), was on a gap year, had left the country, was in custody, was attending a Scottish or Welsh college or school or their whereabouts were not known."
"OVERALLPER","Total in a sustained education destination","PCTB",""
"FECPER","Further Education College","PCT",""
"OTHERFEPER","Other Further Education Provider","PCT","Includes students undertaking Further Education provision at a Higher Education Institution"
"SSFPER","School Sixth Form","PCT",""
"SFCPER","Sixth Form College","PCT",""
"APPRENPER","Apprenticeships","PCT","Apprenticeships are identified where any qualifying learning has occurred at any time during the October to March participation period. All Apprenticeships are also reported in the Further Education College, Other Further Education Provider, School Sixth Form and Sixth Form College lines."
"HEIPER","UK Higher Education Institution","PCT",""
"COMBOPER","Education combination","PCT","Includes students who fulfilled the October to March participation criteria but through more than one type of education destination."
"KNOWNPER","Education destination not sustained","PCTB","Includes students who did not have continuous participation in education destinations from October to March."
"UNKNOWNPER","Activity not captured in data","PCTB","Includes young people who had no education activity recorded in an education dataset. Possible reasons for this could be that the young person was attending an independent college or school, was in employment, was not in employment, education or training (NEET), was on a gap year, had left the country, was in custody, was attending a Scottish or Welsh college or school or their whereabouts were not known."
