"Column","Field Name ","Label/Description"
"1","RECTYPE","Record type (1 = mainstream schools; 2 = special schools; 3 = Local Authority; 4 = National (all schools); 5 = National (maintained schools only))"
"2","ALPHAIND","Alphabetic index"
"3","LEA","Local authority number"
"4","ESTAB","Establishment number"
"5","URN","School unique reference number"
"6","SCHNAME","School/Local authority name"
"7","ADDRESS1","School address (1)"
"8","ADDRESS2","School address (2)"
"9","ADDRESS3","School address (3)"
"10","TOWN","School town"
"11","PCODE","School postcode"
"12","TELNUM","School telephone number "
"13","URN_AC","Converter academy: URN "
"14","SCHNAME_AC","Converter academy: name"
"15","OPEN_AC","Converter academy: open date"
"16","NFTYPE","School type"
"17","ICLOSE","Closed Flag"
"18","RELDENOM","Religious denomination"
"19","AGERANGE","Age range"
"20","CONFEXAM","Confirmation flag that core performance information has been checked"
"21","TAB15","School published in secondary school (key stage 4) performance tables"
"22","TAB1618","School published in school and college (key stage 5) performance tables"
"23","TOTPUPS","Total number of pupils (including part-time pupils)"
"24","TPUPYEAR","Number of pupils aged 11 "
"25","TELIG","Published eligible pupil number"
"26","BELIG","Eligible boys on school roll at time of tests"
"27","GELIG","Eligible girls on school roll at time of tests"
"28","PBELIG","% eligible boys on school roll at time of tests"
"29","PGELIG","% eligible girls on school roll at time of tests"
"30","TKS1APS","Cohort level key stage 1 average points score"
"31","TKS1EXP_L","Number of pupils in cohort with low KS1 attainment"
"32","PKS1EXP_L","% pupils in cohort with low KS1 attainment"
"33","TKS1EXP_M","Number of pupils in cohort with medium KS1 attainment"
"34","PKS1EXP_M","% pupils in cohort with medium KS1 attainment"
"35","TKS1EXP_H","Number of pupils in cohort high KS1 attainment"
"36","PKS1EXP_H","% pupils in cohort with high KS1 attainment"
"37","TFSMCLA","Number of key stage 2 disadvantaged pupils (those who were eligible for free school meals in last 6 years or are looked after by the LA)"
"38","PTFSMCLA","% key stage 2 disadvantaged pupils"
"39","TNotFSMCLA","Number of key stage 2 pupils who are not disadvantaged"
"40","PTNotFSMCLA","% key stage 2 pupils who are not disadvantaged"
"41","TEALGRP2","Number of eligible pupils with English as additional language (EAL)"
"42","PTEALGRP2","% eligible pupils with English as additional language (EAL)"
"43","TMOBN","Number of eligible pupils classified as non-mobile"
"44","PTMOBN","% eligible pupils classified as non-mobile"
"45","SENELS","Number of eligible pupils with SEN with a statement or supported at School Action Plus"
"46","PSENELS","% eligible pupils with SEN with a statement or supported at School Action Plus"
"47","PT2MATH12","% pupils making at least 2 levels of progress in maths"
"48","COVMATH12","% pupils included in maths progress measure"
"49","PT2READ12","% pupils making at least 2 levels of progress in reading"
"50","COVREAD12","% pupils included in reading progress measure"
"51","PT2WRITTA12","% pupils making at least 2 levels of progress in writing TA"
"52","COVWRITTA12","% pupils included in writing TA progress measure"
"53","PTREADWRITTAMATX","% pupils achieving level 4 or above in reading and maths test and writing TA"
"54","PTREADWRITTAMAT4B","% pupils achieved level 4B or above in reading and maths test and level 4 in writing TA"
"55","PTREADWRITTAMATAX","% pupils achieving level 5 or above in reading and maths test and writing TA"
"56","PTREADWRITTAMATBX","% pupils achieving 3 or below in reading and maths test and writing TA "
"57","TAPS","Average point score"
"58","AVGLEVEL","Average level per pupil"
"59","OVAMEAS","Overall value added measure"
"60","VACOV","Coverage indicator - % pupils included in value added calculations"
"61","OLCONF","Overall value added lower 95% confidence limit"
"62","OUCONF","Overall value added upper 95% confidence limit"
"63","PT2Math12_B","% boys making at least 2 levels of progress in maths"
"64","PT2Math12_G","% girls making at least 2 levels of progress in maths"
"65","PT2Math12_L","% pupils with low key stage 1 attainment making at least 2 levels of progress in maths"
"66","PT2Math12_M","% pupils with middle key stage 1 attainment making at least 2 levels of progress in maths"
"67","PT2Math12_H","% pupils with high key stage 1 attainment making at least 2 levels of progress in maths"
"68","PT2Math12_FSMCLA","% disadvantaged pupils making at least 2 levels of progress in maths"
"69","PT2Math12_NotFSMCLA","% pupils not disadvantaged making at least 2 levels of progress in maths"
"70","GAP_PRMAT","Gap between % making expected progress in maths for disadvantaged pupils and others"
"71","GAPN_PRMAT_FSMCLA","Gap between school and national % making expected progress in maths for disadvantaged pupils"
"72","GAPN_PRMAT_NotFSMCLA","Gap between school and national % making expected progress in maths for other pupils"
"73","PT2Math12_EALY","% EAL pupils making at least 2 levels of progress in maths"
"74","PT2Math12_MOBN","% non-mobile pupils making at least 2 levels of progress in maths "
"75","PT2Read12_B","% boys making at least 2 levels of progress in reading"
"76","PT2Read12_G","% girls making at least 2 levels of progress in reading"
"77","PT2Read12_L","% pupils with low key stage 1 attainment making at least 2 levels of progress in reading"
"78","PT2Read12_M","% pupils with middle key stage 1 attainment making at least 2 levels of progress in reading"
"79","PT2Read12_H","% pupils with high key stage 1 attainment making at least 2 levels of progress in reading"
"80","PT2Read12_FSMCLA","% disadvantaged pupils making at least 2 levels of progress in reading"
"81","PT2Read12_NotFSMCLA","% pupils not disadvantaged making at least 2 levels of progress in reading"
"82","GAP_PRREAD","Gap between % making expected progress in reading for disadvantaged pupils and others"
"83","GAPN_PRREAD_FSMCLA","Gap between school and national % making expected progress in reading for disadvantaged pupils"
"84","GAPN_PRREAD_NotFSMCLA","Gap between school and national % making expected progress in reading for other pupils"
"85","PT2Read12_EALY","% EAL pupils making at least 2 levels of progress in reading"
"86","PT2Read12_MOBN","% non-mobile pupils making at least 2 levels of progress in reading"
"87","PT2WritTA12_B","% boys making at least 2 levels of progress in writing TA"
"88","PT2WritTA12_G","% girls making at least 2 levels of progress in writing TA"
"89","PT2WritTA12_L","% pupils with low key stage 1 attainment making at least 2 levels of progress in writing TA"
"90","PT2WritTA12_M","% pupils with middle key stage 1 attainment making at least 2 levels of progress in writing TA"
"91","PT2WritTA12_H","% pupils with high key stage 1 attainment making at least 2 levels of progress in writing TA"
"92","PT2WritTA12_FSMCLA","% disadvantaged pupils making at least 2 levels of progress in writing TA"
"93","PT2WritTA12_NotFSMCLA","% pupils not disadvantaged making at least 2 levels of progress in writing"
"94","GAP_PRWRIT","Gap between % making expected progress in writing TA for disadvantaged pupils and others"
"95","GAPN_PRWRIT_FSMCLA","Gap between school and national % making expected progress in writing TA for disadvantaged pupils"
"96","GAPN_PRWRIT_NotFSMCLA","Gap between school and national % making expected progress in writing TA for other pupils"
"97","PT2WritTA12_EALY","% EAL pupils making at least 2 levels of progress in writing TA"
"98","PT2WritTA12_MOBN","% non-mobile pupils making at least 2 levels of progress in writing TA"
"99","PBREADWRITTAMATX","% boys achieving level 4 or above in reading and maths test and writing TA"
"100","PGREADWRITTAMATX","% girls achieving level 4 or above in reading and maths test and writing TA"
"101","PTREADWRITTAMATX_L","% pupils with low key stage 1 attainment achieving level 4 or above in reading and maths test and writing TA"
"102","PTREADWRITTAMATX_M","% pupils with middle key stage 1 attainment achieving level 4 or above in reading and maths test and writing TA"
"103","PTREADWRITTAMATX_H","% pupils with high key stage 1 attainment achieving level 4 or above in reading and maths test and writing TA"
"104","PTREADWRITTAMATX_FSMCLA","% disadvantaged pupils achieving level 4 or above in reading and maths tests and writing TA"
"105","PTREADWRITTAMATX_NotFSMCLA","% pupils not disadvantaged achieving level 4 or above in reading and maths tests and writing TA"
"106","GAP_RWMX","Gap between % achieving level 4 or above in reading, writing TA and maths for disadvantaged pupils and others"
"107","GAPN_RWMX_FSMCLA","Gap between school and national % achieving level 4 or above in reading, writing TA and maths for disadvantaged pupils"
"108","GAPN_RWMX_NotFSMCLA","Gap between school and national % achieving level 4 or above in reading, writing TA and maths for other pupils"
"109","PTREADWRITTAMATX_EALY","% EAL pupils achieving level 4 or above in reading and maths test and writing TA"
"110","PTREADWRITTAMATX_MOBN","% non-mobile pupils achieving level 4 or above in reading and maths test and writing TA"
"111","PBREADWRITTAMAT4B","% boys achieved level 4B or above in all of reading test. maths test, writing TA"
"112","PGREADWRITTAMAT4B","% girls achieved level 4B or above in all of reading test. maths test, writing TA"
"113","PTREADWRITTAMAT4B_L","% pupils with low key stage 1 attainment achieving level 4B or above in reading test. maths test, writing TA"
"114","PTREADWRITTAMAT4B_M","% pupils with middle key stage 1 attainment achieving level 4B or above in reading test. maths test, writing TA"
"115","PTREADWRITTAMAT4B_H","% pupils with high key stage 1 attainment achieving level 4B or above in reading test. maths test, writing TA"
"116","PTREADWRITTAMAT4B_FSMCLA","% disadvantaged pupils achieving level 4B or above in reading and maths tests and writing TA"
"117","PTREADWRITTAMAT4B_NotFSMCLA","% pupils not disadvantaged achieving level 4B or above in both English and maths"
"118","GAP_RWM4B","Gap between % achieving level 4B or above in reading, writing TA and maths for disadvantaged pupils and others"
"119","GAPN_RWM4B_FSMCLA","Gap between school and national % achieving level 4B or above in reading, writing TA and maths for disadvantaged pupils"
"120","GAPN_RWM4B_NotFSMCLA","Gap between school and national % achieving level 4B or above in reading, writing TA and maths for other pupils"
"121","PTREADWRITTAMAT4B_EALY","% EAL pupils achieving level 4B or above in reading and maths test and writing TA"
"122","PTREADWRITTAMAT4B_MOBN","% non-mobile pupils achieving level 4B or above in reading and maths test and writing TA"
"123","PBREADWRITTAMATAX","% boys achieving level 5 or above in reading and maths test and writing TA"
"124","PGREADWRITTAMATAX","% girls achieving level 5 or above in reading and maths test and writing TA"
"125","PTREADWRITTAMATAX_L","% pupils with low key stage 1 attainment achieving level 5 or above in reading and maths test and writing TA"
"126","PTREADWRITTAMATAX_M","% pupils with middle key stage 1 attainment achieving level 5 or above in reading and maths test and writing TA"
"127","PTREADWRITTAMATAX_H","% pupils with high key stage 1 attainment achieving level 5 or above in reading and maths test and writing TA"
"128","PTREADWRITTAMATAX_FSMCLA","% disadvantaged pupils achieving level 5 or above in reading and maths tests and writing TA"
"129","PTREADWRITTAMATAX_NotFSMCLA","% pupils not disadvantaged achieving level 5 or above in reading and maths tests and writing TA"
"130","PTREADWRITTAMATAX_EALY","% EAL pupils achieving level 5 or above in reading and maths test and writing TA"
"131","PTREADWRITTAMATAX_MOBN","% non-mobile pupils achieving level 5 or above in reading and maths test and writing TA"
"132","PBREADWRITTAMATBX","% boys achieving 3 or below in reading and maths test and writing TA "
"133","PGREADWRITTAMATBX","% girls achieving 3 or below in reading and maths test and writing TA "
"134","PTREADWRITTAMATBX_L","% pupils with low key stage 1 attainment achieving level 3 or below in reading and maths test and writing TA"
"135","PTREADWRITTAMATBX_M","% pupils with middle key stage 1 attainment achieving level 3 or below in reading and maths test and writing TA"
"136","PTREADWRITTAMATBX_H","% pupils with high key stage 1 attainment achieving level 3 or below in reading and maths test and writing TA"
"137","PTREADWRITTAMATBX_FSMCLA","% disadvantaged pupils achieving level 3 or below in reading and maths tests and writing TA"
"138","PTREADWRITTAMATBX_NotFSMCLA","% pupils not disadvantaged achieving level 3 or below in reading and maths tests and writing TA"
"139","PTREADWRITTAMATBX_EALY","% EAL pupils achieving level 3 or below in reading and maths test and writing TA"
"140","PTREADWRITTAMATBX_MOBN","% non-mobile pupils achieving level 3 or below in reading and maths test and writing TA"
"141","OVAMEAS_L","Overall value added measure: L"
"142","OLCONF_L","Overall value added lower 95% confidence limit: L"
"143","OUCONF_L","Overall value added upper 95% confidence limit: L"
