URN,COHORT,OVERALL,FEC,INDEP,OTHERFE,SSF,SFC,SPI,AP_PRU,SPECIAL,APPREN,HE,COMBO,KNOWN,UNKNOWN,OVERALLPER,FECPER,INDEPPER,OTHERFEPER,SSFPER,SFCPER,SPIPER,AP_PRUPER,SPECIALPER,APPRENPER,HEPER,COMBOPER,KNOWNPER,UNKNOWNPER
100049,200,180,30,0,5,145,SUPP,0,0,0,5,0,0,15,5,89%,15%,0%,3%,70%,SUPP,0%,0%,0%,2%,0%,0%,7%,3%
100050,170,150,20,0,5,115,5,0,0,0,SUPP,0,SUPP,15,5,87%,11%,0%,2%,69%,4%,0%,0%,0%,SUPP,0%,SUPP,10%,3%
100051,160,140,40,0,SUPP,90,5,0,0,0,5,0,SUPP,10,15,84%,25%,0%,SUPP,55%,3%,0%,0%,0%,2%,0%,SUPP,7%,9%
100052,210,190,25,SUPP,SUPP,145,20,0,0,0,SUPP,0,0,5,5,94%,12%,SUPP,SUPP,70%,11%,0%,0%,0%,SUPP,0%,0%,3%,3%
100053,180,160,20,SUPP,5,120,5,SUPP,SUPP,0,5,0,SUPP,10,10,88%,11%,SUPP,4%,66%,4%,SUPP,SUPP,0%,4%,0%,SUPP,7%,5%
100054,110,110,20,SUPP,0,90,0,0,0,0,0,0,0,SUPP,SUPP,97%,17%,SUPP,0%,80%,0%,0%,0%,0%,0%,0%,0%,SUPP,SUPP
100055,150,130,30,5,5,70,20,0,0,0,SUPP,0,0,10,10,86%,21%,3%,2%,48%,12%,0%,0%,0%,SUPP,0%,0%,6%,7%
100056,130,120,25,SUPP,5,85,5,0,0,0,5,0,0,SUPP,SUPP,97%,20%,SUPP,3%,69%,4%,0%,0%,0%,3%,0%,0%,SUPP,SUPP
100059,180,180,15,SUPP,5,135,15,0,0,0,0,0,0,SUPP,SUPP,98%,10%,SUPP,2%,77%,10%,0%,0%,0%,0%,0%,0%,SUPP,SUPP
100092,10,SUPP,SUPP,0,0,0,0,0,0,0,0,0,0,5,0,SUPP,SUPP,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,86%,0%
100096,20,20,5,0,0,SUPP,0,0,0,5,0,0,0,0,0,100%,47%,0%,0%,SUPP,0%,0%,0%,47%,0%,0%,0%,0%,0%
138449,150,120,20,SUPP,5,95,SUPP,0,0,0,10,0,SUPP,10,10,84%,15%,SUPP,4%,63%,SUPP,0%,0%,0%,7%,0%,SUPP,7%,8%
100182,170,170,25,SUPP,5,115,15,0,0,0,SUPP,0,0,5,SUPP,95%,14%,SUPP,2%,67%,10%,0%,0%,0%,SUPP,0%,0%,4%,SUPP
