RECTYPE,LEA,ESTAB,URN,NFTYPE,TPUP,ATT8SCR,P8MEA,P8CILOW,P8CIUPP,PTEBACC_E_PTQ_EE,PTEBACC_PTQ_EE,PTL2BASICS_LL_PTQ_EE
1,201,6007,100003,IND,,NA,NA,NA,NA,NA,NA,NA
1,201,6005,100001,IND,,NA,NA,NA,NA,NA,NA,NA
4,201,,,,,,,,,,,
1,202,4285,100053,CY,175,49.4,-0.33,-0.49,-0.17,0.42,0.3,0.59
1,202,4611,100054,VA,111,59.8,0.3,0.1,0.5,0.7,0.6,0.78
1,202,6000,137333,IND,,NA,NA,NA,NA,NA,NA,NA
1,202,6387,100084,IND,,NA,NA,NA,NA,NA,NA,NA
1,202,4275,100052,CY,206,49.9,0.1,-0.05,0.25,0.67,0.33,0.59
1,202,4104,100049,CY,207,46.9,-0.11,-0.26,0.03,0.12,0.09,0.55
1,202,5401,100059,VA,173,57.3,0.42,0.26,0.58,0.45,0.27,0.76
1,202,4652,100055,VA,92,50.1,0.18,-0.05,0.4,0.48,0.27,0.65
1,202,6269,100074,IND,,NA,NA,NA,NA,NA,NA,NA
1,202,4166,100050,CY,175,55.2,0.16,0,0.32,0.55,0.37,0.67
1,202,4196,100051,CY,151,41.5,-0.15,-0.34,0.05,0.28,0.11,0.5
1,202,6014,100062,IND,,NA,NA,NA,NA,NA,NA,NA
1,202,6307,100076,IND,,NA,NA,NA,NA,NA,NA,NA
1,202,4000,137181,AC,,,,,,,,
1,202,6018,100065,IND,,NA,NA,NA,NA,NA,NA,NA
1,202,4688,100056,VA,123,50.5,-0.36,-0.55,-0.16,0.63,0.37,0.67
2,202,7137,100092,CYS,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
2,202,7205,100096,CYS,24,NE,NE,NE,NE,NE,NE,NE
4,202,,,,1439,50,0,-0.06,0.05,0.454,0.279,0.621
1,203,6376,134827,IND,,NA,NA,NA,NA,NA,NA,NA
1,203,6295,100756,IND,,NA,NA,NA,NA,NA,NA,NA
1,203,6293,100202,IND,,NA,NA,NA,NA,NA,NA,NA
1,203,4243,137473,ACC,178,44.5,-0.34,-0.53,-0.16,0.22,0.08,0.51
1,203,4077,100182,CY,147,50.8,0.08,-0.11,0.26,0.37,0.21,0.56
1,203,6002,140226,IND,,NA,NA,NA,NA,NA,NA,NA
1,203,4001,138245,F,,,,,,,,
1,203,4000,138449,AC,152,52.6,0.36,0.18,0.55,0.59,0.34,0.58
1,203,4003,142608,F,,,,,,,,
1,203,4508,100192,VC,205,43.2,-0.68,-0.83,-0.53,0.68,0.15,0.31
1,203,4130,100183,CY,238,48.7,0.04,-0.1,0.18,0.45,0.29,0.58
1,203,6004,141315,IND,,NA,NA,NA,NA,NA,NA,NA
1,203,6300,134402,IND,,NA,NA,NA,NA,NA,NA,NA
1,203,6169,100200,IND,,NA,NA,NA,NA,NA,NA,NA
1,203,3526,100171,VA,,,,,,,,
1,203,6905,105135,AC,232,49.7,0.01,-0.13,0.15,0.41,0.23,0.72
1,203,4716,141716,ACC,121,60.4,0.73,0.54,0.92,0.53,0.4,0.72
1,203,4682,100193,VA,117,59.2,0.44,0.24,0.64,0.79,0.6,0.85
1,203,6377,132777,IND,,NA,NA,NA,NA,NA,NA,NA
1,203,4271,141309,ACC,263,50.5,-0.07,-0.2,0.07,0.54,0.27,0.7
1,203,6041,136100,IND,,NA,NA,NA,NA,NA,NA,NA
1,203,4294,100190,CY,232,49.7,-0.06,-0.2,0.08,0.38,0.26,0.58
1,203,4002,139786,FUTC,62,48.1,-0.29,-0.58,0,0.1,0.03,0.58
1,203,4250,141163,ACC,219,52.4,0.46,0.31,0.62,0.57,0.37,0.73
2,203,7199,138547,ACCS,33,1.9,-1.39,-1.76,-1.02,0,0,0
2,203,7118,100204,CYS,10,6.3,-3,-3.69,-2.3,0,0,0.1
2,203,6040,136092,INDSPEC,,NA,NA,NA,NA,NA,NA,NA
4,203,,,,2215,49.3,-0.01,-0.05,0.04,0.47,0.264,0.603
1,204,6399,102171,IND,,NA,NA,NA,NA,NA,NA,NA
1,204,6337,100295,IND,,NA,NA,NA,NA,NA,NA,NA
1,204,6296,100293,IND,,NA,NA,NA,NA,NA,NA,NA
1,204,6400,131342,IND,,NA,NA,NA,NA,NA,NA,NA
1,204,6010,141516,IND,,NA,NA,NA,NA,NA,NA,NA
