TIME_PERIOD,TIME_IDENTIFIER,TRUST_GROUP_TYPE,TRUST_NAME,TRUST_UID,TRUST_ID,TRUST_COMPANIES_HOUSE_NUMBER,TRUST_UKPRN,TRUST_LEADREGION,INSTITUTIONS_MATPTINC,NUMINST_MATPTINC,NUMINST_CONVERTER_MATPTINC,NUMINST_SPONSOR_MATPTINC,NUMINST_OTHERACADEMY_MATPTINC,NUMINST_FSM6CLA1A_MATPTINC,NUMINST_3_MATPTINC,NUMINST_4_MATPTINC,NUMINST_5PLUS_MATPTINC,TPUP_MATPTINC,KS2ASS_MATPTINC,PFSM6CLA1A_MATPTINC,PNOTFSM6CLA1A_MATPTINC,PEALGRP2_MATPTINC,PSEN_ALL4_MATPTINC,ATT8SCR_WGTAVG,P8MEACOV,P8MEA_WGTAVG,P8CILOW,P8CIUPP,PTL2BASICS_95_WGTAVG,EBACCAPS_WGTAVG,PTEBACC_95_WGTAVG,PTEBACC_94_WGTAVG,PTEBACC_E_PTQ_EE_WGTAVG,ATT8SCR_WGTAVG_FSM6CLA1A,P8MEACOV_FSM6CLA1A,P8MEA_WGTAVG_FSM6CLA1A,P8CILOW_FSM6CLA1A,P8CIUPP_FSM6CLA1A,PTL2BASICS_95_WGTAVG_FSM6CLA1A,EBACCAPS_WGTAVG_FSM6CLA1A,PTEBACC_95_WGTAVG_FSM6CLA1A,PTEBACC_94_WGTAVG_FSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A,ATT8SCR_WGTAVG_NFSM6CLA1A,P8MEACOV_NFSM6CLA1A,P8MEA_WGTAVG_NFSM6CLA1A,P8CILOW_NFSM6CLA1A,P8CIUPP_NFSM6CLA1A,PTL2BASICS_95_WGTAVG_NFSM6CLA1A,EBACCAPS_WGTAVG_NFSM6CLA1A,PTEBACC_95_WGTAVG_NFSM6CLA1A,PTEBACC_94_WGTAVG_NFSM6CLA1A,PTEBACC_E_PTQ_EE_WGTAVG_NFSM6CLA1A,INSTITUTIONS_INMAT,NUMINST_INMAT,NUMINST_CONVERTER_INMAT,NUMINST_SPONSOR_INMAT,NUMINST_OTHERACADEMY_INMAT,TPUP_INMAT,PFSM6CLA1A_INMAT,PNOTFSM6CLA1A_INMAT
202122,AcademicYear,Multi-academy trust,ACTIVATE LEARNING EDUCATION TRUST,15710,TR02786,8707909,10060613,South East,139268;141111;142024;145155;145945;146375,6,0,2,4,6,0,2,4,617,103.5,22%,78%,11%,24%,43.9,92%,-0.54,-0.65,-0.42,41%,3.7,11%,14%,20%,34.3,97%,-1.13,-1.37,-0.88,23%,2.78,2%,3%,9%,46.6,90%,-0.36,-0.49,-0.23,47%,3.95,13%,18%,23%,139268;141111;142024;145155;145945;146375,6,0,2,4,617,22%,78%
202122,AcademicYear,Multi-academy trust,ACER TRUST,15720,TR01414,9591931,10060976,South East,142104;143984;144008,3,3,0,0,3,0,0,3,538,104.2,15%,85%,8%,19%,50,95%,0.01,-0.11,0.13,50%,4.36,17%,21%,26%,34.7,94%,-0.95,-1.26,-0.64,19%,2.85,4%,4%,7%,52.8,95%,0.18,0.05,0.32,56%,4.63,20%,24%,29%,142104;143984;144008,3,3,0,0,538,15%,85%
202122,AcademicYear,Multi-academy trust,RED KITE LEARNING TRUST,15727,TR00969,7523507,10054307,Yorkshire and the Humber,136497;138304;141883;146247,4,2,1,1,4,1,1,2,771,104.1,23%,77%,7%,14%,51.6,93%,0.04,-0.06,0.14,59%,4.69,34%,41%,50%,35,92%,-0.72,-0.94,-0.51,30%,3.13,17%,21%,33%,56.2,94%,0.25,0.13,0.37,67%,5.12,39%,46%,55%,136497;138304;141883;146247,4,2,1,1,771,23%,77%
202122,AcademicYear,Multi-academy trust,CONSILIUM ACADEMIES,15728,TR00082,9495671,10061209,North East,138314;143059;143845;144199;144200;144937;144990;145490,8,5,3,0,8,0,2,6,1147,103.3,37%,63%,12%,16%,41.1,96%,-0.69,-0.77,-0.61,35%,3.46,9%,13%,20%,32.9,95%,-1.14,-1.27,-1,17%,2.72,3%,7%,15%,46.1,96%,-0.42,-0.52,-0.31,47%,3.92,12%,16%,23%,138314;143059;143845;144199;144200;144937;144990;145490,8,5,3,0,1147,37%,63%
202122,AcademicYear,Multi-academy trust,THE FUTURES TRUST,15732,TR01671,8678162,10060589,West Midlands,140248;142339;145179,3,2,1,0,3,0,1,2,564,100.7,34%,66%,32%,18%,47.8,92%,0.36,0.23,0.48,48%,4.14,13%,17%,24%,43,94%,-0.03,-0.23,0.18,39%,3.69,9%,14%,21%,50.3,90%,0.56,0.41,0.71,52%,4.37,16%,18%,26%,140248;142339;145179;148417,4,3,1,0,723,31%,69%
202122,AcademicYear,Multi-academy trust,THE GREAT SCHOOLS TRUST,15758,TR00892,7641004,10058757,North West,137675;138260;138562,3,0,1,2,3,0,0,3,347,102,44%,56%,24%,17%,45.8,80%,-0.01,-0.18,0.15,45%,4.26,29%,39%,70%,33.8,81%,-0.63,-0.88,-0.38,25%,3.05,14%,23%,51%,55.4,80%,0.48,0.26,0.7,61%,5.23,40%,52%,85%,137675;138260;138562,3,0,1,2,347,44%,56%
202122,AcademicYear,Multi-academy trust,MAIDEN ERLEGH TRUST,15762,TR01378,7548754,10058569,South East,136637;141886;146103,3,1,1,1,3,0,1,2,518,104.6,15%,85%,32%,11%,55.3,89%,0.48,0.35,0.6,63%,5.19,37%,50%,68%,40.2,91%,-0.14,-0.47,0.18,36%,3.63,12%,24%,44%,58.1,89%,0.59,0.45,0.73,68%,5.47,42%,54%,72%,136637;141886;146103,3,1,1,1,518,15%,85%
202122,AcademicYear,Multi-academy trust,CUMBRIA EDUCATION TRUST,15765,TR02488,7698631,10059094,North West,137252;141499;146634,3,1,2,0,3,1,0,2,497,102.4,23%,77%,2%,14%,45,99%,-0.23,-0.36,-0.11,40%,3.85,9%,17%,28%,33.2,99%,-0.85,-1.11,-0.59,19%,2.82,2%,10%,26%,48.3,98%,-0.06,-0.2,0.08,46%,4.14,11%,19%,28%,137252;141499;146634,3,1,2,0,497,23%,77%
202122,AcademicYear,Multi-academy trust,FINHAM PARK MULTI-ACADEMY TRUST,15766,TR00790,7700317,10059110,West Midlands,136963;141939;142960,3,2,0,1,3,0,0,3,500,103.4,22%,78%,21%,14%,49.8,92%,0.08,-0.05,0.21,51%,4.5,30%,40%,67%,37.2,93%,-0.59,-0.87,-0.32,25%,3.07,9%,17%,35%,53.3,92%,0.27,0.12,0.41,58%,4.9,36%,47%,75%,136963;141939;142960;148429,4,3,0,1,636,26%,74%
202122,AcademicYear,Multi-academy trust,UNITED ENDEAVOUR TRUST,15863,TR03224,9679560,10061008,West Midlands,142277;142278;145047,3,3,0,0,3,0,0,3,379,104.1,23%,77%,5%,7%,46.2,99%,-0.38,-0.52,-0.23,40%,3.84,10%,13%,26%,38.6,99%,-0.66,-0.96,-0.37,24%,3.09,2%,6%,18%,48.4,99%,-0.29,-0.45,-0.13,45%,4.06,12%,15%,28%,142277;142278;145047,3,3,0,0,379,23%,77%
