TIME_PERIOD,TIME_IDENTIFIER,TRUST_GROUP_TYPE,TRUST_NAME,TRUST_UID,TRUST_ID,TRUST_COMPANIES_HOUSE_NUMBER,TRUST_UKPRN,TRUST_LEADREGION,INSTITUTIONS_MATPTINC,NUMINST_ACAD_MATPTINC,NUMINST_ACAD_CONVERTER_MATPTINC,NUMINST_ACAD_SPONSOR_MATPTINC,NUMINST_ACAD_OTHERACADEMY_MATPTINC,NUMINST_ACAD_3_MATPTINC,NUMINST_ACAD_4_MATPTINC,NUMINST_ACAD_5PLUS_MATPTINC,NUMINST_AGEN_MATPTINC,NUMINST_AGEN_CONVERTER_MATPTINC,NUMINST_AGEN_SPONSOR_MATPTINC,NUMINST_AGEN_OTHERACADEMY_MATPTINC,NUMINST_AGEN_3_MATPTINC,NUMINST_AGEN_4_MATPTINC,NUMINST_AGEN_5PLUS_MATPTINC,TALLPUP_ACAD_MATPTINC,TALLSCR_ACAD_1618,TALLENT_ACAD_1618,TALLPPE_ACAD_1618,TALLPPE_GRD_ACAD_1618,TALLPUP_ACAD_DIS_MATPTINC,TALLSCR_ACAD_1618_DIS,TALLENT_ACAD_1618_DIS,TALLPPE_ACAD_1618_DIS,TALLPPE_GRD_ACAD_1618_DIS,perc_DIS_ACAD,TALLPUP_ACAD_NOTDIS_MATPTINC,TALLSCR_ACAD_1618_NOTDIS,TALLENT_ACAD_1618_NOTDIS,TALLPPE_ACAD_1618_NOTDIS,TALLPPE_GRD_ACAD_1618_NOTDIS,TALLPUP_AGEN_MATPTINC,TALLSCR_AGEN,TALLENT_AGEN,TALLPPE_AGEN,TALLPPE_GRD_AGEN,TALLPUP_AGEN_DIS_MATPTINC,TALLSCR_AGEN_DIS,TALLENT_AGEN_DIS,TALLPPE_AGEN_DIS,TALLPPE_GRD_AGEN_DIS,perc_DIS_AGEN,TALLPUP_AGEN_NOTDIS_MATPTINC,TALLSCR_AGEN_NOTDIS,TALLENT_AGEN_NOTDIS,TALLPPE_AGEN_NOTDIS,TALLPPE_GRD_AGEN_NOTDIS,INSTITUTIONS_INMAT,NUMINST_1618_INMAT,NUMINST_1618_CONVERTER_INMAT,NUMINST_1618_SPONSOR_INMAT,NUMINST_1618_OTHERACADEMY_INMAT,NUMINST_ACAD_INMAT,NUMINST_ACAD_CONVERTER_INMAT,NUMINST_ACAD_SPONSOR_INMAT,NUMINST_ACAD_OTHERACADEMY_INMAT,NUMINST_AGEN_INMAT,NUMINST_AGEN_CONVERTER_INMAT,NUMINST_AGEN_SPONSOR_INMAT,NUMINST_AGEN_OTHERACADEMY_INMAT,TALLPUP_1618_INMAT,TALLPUP_ACAD_INMAT,TALLPUP_ACAD_DIS_INMAT,TALLPUP_ACAD_NOTDIS_INMAT,TALLPUP_AGEN_INMAT,TALLPUP_AGEN_DIS_INMAT,TALLPUP_AGEN_NOTDIS_INMAT
202122,AcademicYear,Multi-academy trust,ARETÉ LEARNING TRUST,5622,TR03123,9471240,10060960,Yorkshire and the Humber,"146969, 141930, 145090",3,2,1,0,1,1,1,3,2,1,0,1,1,1,249,25628,683,37.52,C+,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,70,3865,109,35.46,Dist-,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,"146969, 141930, 145090",3,2,1,0,3,2,1,0,3,2,1,0,565,249,18,228,70,7,62
202122,AcademicYear,Multi-academy trust,ACADEMIES ENTERPRISE TRUST,2053,TR00008,6625091,10033736,National Sponsor Unit,"137188, 135651, 135652, 135653, 135957, 136753, 137138, 136147, 139276, 136208, 139048",11,1,10,0,0,0,11,11,1,10,0,0,0,11,569,41822,1247.1,33.54,C,135,8544,294.8,28.98,C-,24%,430,32948,940.3,35.04,C+,438,25115,772.5,32.51,Merit+,126,7379.5,236.5,31.2,Merit+,29%,309,17535.5,530,33.09,Merit+,"138439, 137188, 135651, 135652, 135653, 135957, 136753, 137138, 136147, 139276, 136208, 139048",12,1,11,0,11,1,10,0,11,1,10,0,1593,569,135,430,438,126,309
202122,AcademicYear,Multi-academy trust,ACADEMY TRANSFORMATION TRUST,2062,TR00015,7846852,10039859,East of England,"139062, 139063, 139867, 142594",4,2,2,0,0,0,4,4,2,2,0,0,0,4,141,9947,318.9,31.19,C-,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,125,7145.5,229,31.2,Merit+,33,1719,63.5,27.07,Merit,26%,92,5426.5,165.5,32.79,Merit+,"139062, 139063, 139867, 142594",4,2,2,0,4,2,2,0,4,2,2,0,385,141,36,105,125,33,92
202122,AcademicYear,Multi-academy trust,ACTIVATE LEARNING EDUCATION TRUST,15710,TR02786,8707909,10060613,South East,"146375, 145155, 145945, 139268, 141111, 142024",6,0,2,4,0,2,4,6,0,2,4,0,2,4,253,16291,561.9,28.99,C-,22,1240,46.8,26.5,D+,9%,226,14781,502.6,29.41,C-,112,5862.5,204.5,28.67,Merit,13,555,20,27.75,Merit,12%,98,5237.5,182.5,28.7,Merit,"146375, 145155, 145945, 139268, 141111, 142024",6,0,2,4,6,0,2,4,6,0,2,4,833,253,22,226,112,13,98
202122,AcademicYear,Multi-academy trust,ALBAN ACADEMIES TRUST,16752,TR01869,7523557,10058506,East of England,"146305, 137038, 136609",3,2,1,0,0,2,1,3,2,1,0,0,2,1,391,45983,1088.8,42.23,B,23,2150,61,35.25,C+,6%,365,43443,1018.8,42.64,B,86,3805,126.5,30.08,Merit+,8,350,13,26.92,Merit,9%,78,3455,113.5,30.44,Merit+,"146305, 137038, 136609",3,2,1,0,3,2,1,0,3,2,1,0,787,391,23,365,86,8,78
202122,AcademicYear,Multi-academy trust,ALDRIDGE EDUCATION,2096,TR00628,5670663,10058195,North West,"136164, 139924, 135580, 146303",4,0,2,2,0,1,3,3,0,2,1,0,0,3,115,7046,225.7,31.22,C-,35,1860,67,27.76,D+,30%,77,5026,152.7,32.91,C,68,3718,126,29.51,Merit,18,886.5,32.5,27.28,Merit,26%,47,2671.5,87.5,30.53,Merit+,"136164, 139924, 135580, 146303",4,0,2,2,4,0,2,2,3,0,2,1,477,115,35,77,68,18,47
202122,AcademicYear,Multi-academy trust,ANTHEM SCHOOLS TRUST,2597,TR00429,7468210,10058447,East Midlands,"134003, 137873, 136261, 138571",4,1,3,0,0,0,4,4,1,3,0,0,0,4,274,23296,693.9,33.57,C,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,SUPPMAT,129,6201.5,202,30.7,Merit+,28,1335,48,27.81,Merit,22%,100,4841.5,153,31.64,Merit+,"134003, 137873, 136261, 138571",4,1,3,0,4,1,3,0,4,1,3,0,699,274,51,219,129,28,100
202122,AcademicYear,Multi-academy trust,ARK SCHOOLS,2157,TR00081,5112090,10044534,London,"139821, 135600, 139815, 131752, 135315, 135584, 138267, 138681, 135242, 141019, 146318, 138518, 135970",13,1,10,2,0,1,12,13,1,10,2,0,1,12,712,78452,2034.9,38.55,B-,279,30203,803.1,37.61,C+,39%,423,46884,1199.5,39.09,B-,378,37887.5,1075,35.24,Dist-,165,16197.5,471,34.39,Dist-,44%,210,21285,595,35.77,Dist-,"139821, 135600, 139815, 131752, 135315, 135584, 138267, 138681, 135242, 141019, 146318, 138518, 135970",13,1,10,2,13,1,10,2,13,1,10,2,2373,712,279,423,378,165,210
202122,AcademicYear,Multi-academy trust,ASPIRATIONS ACADEMIES TRUST,2186,TR00103,7867577,10059468,London,"147443, 139711, 145121, 138499, 140886, 142126, 137009",7,1,4,2,1,0,6,7,1,4,2,1,0,6,236,18578,600.3,30.95,C-,44,2675,96.2,27.81,D+,19%,187,15501,490.2,31.62,C-,108,5643,182,31.01,Merit+,27,1640,52,31.54,Merit+,25%,77,3828,125,30.62,Merit+,"147443, 139711, 145121, 138499, 140886, 142126, 137009",7,1,4,2,7,1,4,2,7,1,4,2,683,236,44,190,108,27,81
202122,AcademicYear,Multi-academy trust,BECKFOOT TRUST,2270,TR00163,8155088,10059960,Yorkshire and the Humber,"143112, 143114, 139975",3,1,2,0,0,0,3,3,1,2,0,0,0,3,275,23877,698.7,34.17,C,48,2966,106.8,27.77,D+,17%,227,20911,591.9,35.33,C+,117,5392,163.5,32.98,Merit+,29,1290,43.5,29.66,Merit,25%,88,4102,120,34.18,Dist-,"143112, 143114, 139975",3,1,2,0,3,1,2,0,3,1,2,0,595,275,48,227,117,29,88
